PRESIDENT 1944
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Arkansas,19441107,N/A,ARKANSAS,County,"2,751","1,031","Dewey, Thomas E.",Challenger,"1,711","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,9,680,D,37.48,62.20,.00,.33,37.60,62.40,,,
President,Arkansas,19441107,N/A,ASHLEY,County,"2,460",285,"Dewey, Thomas E.",Challenger,"2,169","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,6,"1,884",D,11.59,88.17,.00,.24,11.61,88.39,,,
President,Arkansas,19441107,N/A,BAXTER,County,"1,372",572,"Dewey, Thomas E.",Challenger,796,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,4,224,D,41.69,58.02,.00,.29,41.81,58.19,,,
President,Arkansas,19441107,N/A,BENTON,County,"6,175","3,305","Dewey, Thomas E.",Challenger,"2,861","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,9,444,R,53.52,46.33,.00,.15,53.60,46.40,,,
President,Arkansas,19441107,N/A,BOONE,County,"3,481","1,349","Dewey, Thomas E.",Challenger,"2,132","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,783,D,38.75,61.25,.00,.00,38.75,61.25,,,
President,Arkansas,19441107,N/A,BRADLEY,County,"1,877",162,"Dewey, Thomas E.",Challenger,"1,710","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,5,"1,548",D,8.63,91.10,.00,.27,8.65,91.35,,,
President,Arkansas,19441107,N/A,CALHOUN,County,"1,028",122,"Dewey, Thomas E.",Challenger,906,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,784,D,11.87,88.13,.00,.00,11.87,88.13,,,
President,Arkansas,19441107,N/A,CARROLL,County,"2,640","1,176","Dewey, Thomas E.",Challenger,"1,464","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,288,D,44.55,55.45,.00,.00,44.55,55.45,,,
President,Arkansas,19441107,N/A,CHICOT,County,"1,826",270,"Dewey, Thomas E.",Challenger,"1,552","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,4,"1,282",D,14.79,84.99,.00,.22,14.82,85.18,,,
President,Arkansas,19441107,N/A,CLARK,County,"2,621",637,"Dewey, Thomas E.",Challenger,"1,981","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,3,"1,344",D,24.30,75.58,.00,.11,24.33,75.67,,,
