PRESIDENT 1944
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Indiana,19441107,N/A,ADAMS,County,"9,601","5,648","Dewey, Thomas E.",Challenger,"3,804","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,149,"1,844",R,58.83,39.62,.00,1.55,59.75,40.25,,,
President,Indiana,19441107,N/A,ALLEN,County,"72,709","41,907","Dewey, Thomas E.",Challenger,"30,445","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,357,"11,462",R,57.64,41.87,.00,.49,57.92,42.08,,,
President,Indiana,19441107,N/A,BARTHOLOMEW,County,"15,080","7,689","Dewey, Thomas E.",Challenger,"7,139","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,252,550,R,50.99,47.34,.00,1.67,51.85,48.15,,,
President,Indiana,19441107,N/A,BENTON,County,"5,713","3,621","Dewey, Thomas E.",Challenger,"2,065","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,27,"1,556",R,63.38,36.15,.00,.47,63.68,36.32,,,
President,Indiana,19441107,N/A,BLACKFORD,County,"6,439","3,079","Dewey, Thomas E.",Challenger,"3,207","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,153,128,D,47.82,49.81,.00,2.38,48.98,51.02,,,
President,Indiana,19441107,N/A,BOONE,County,"12,185","6,823","Dewey, Thomas E.",Challenger,"5,292","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,70,"1,531",R,56.00,43.43,.00,.57,56.32,43.68,,,
President,Indiana,19441107,N/A,BROWN,County,"2,571","1,174","Dewey, Thomas E.",Challenger,"1,352","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,45,178,D,45.66,52.59,.00,1.75,46.48,53.52,,,
President,Indiana,19441107,N/A,CARROLL,County,"8,505","4,872","Dewey, Thomas E.",Challenger,"3,578","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,55,"1,294",R,57.28,42.07,.00,.65,57.66,42.34,,,
President,Indiana,19441107,N/A,CASS,County,"18,506","9,788","Dewey, Thomas E.",Challenger,"8,615","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,103,"1,173",R,52.89,46.55,.00,.56,53.19,46.81,,,
President,Indiana,19441107,N/A,CLARK,County,"17,081","7,241","Dewey, Thomas E.",Challenger,"9,778","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,62,"2,537",D,42.39,57.24,.00,.36,42.55,57.45,,,
President,Indiana,19441107,N/A,CLAY,County,"12,553","6,688","Dewey, Thomas E.",Challenger,"5,721","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,144,967,R,53.28,45.57,.00,1.15,53.90,46.10,,,
President,Indiana,19441107,N/A,CLINTON,County,"14,605","8,087","Dewey, Thomas E.",Challenger,"6,381","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,137,"1,706",R,55.37,43.69,.00,.94,55.90,44.10,,,
President,Indiana,19441107,N/A,CRAWFORD,County,"4,927","2,488","Dewey, Thomas E.",Challenger,"2,335","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,104,153,R,50.50,47.39,.00,2.11,51.59,48.41,,,
President,Indiana,19441107,N/A,DAVIESS,County,"13,052","7,458","Dewey, Thomas E.",Challenger,"5,523","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,71,"1,935",R,57.14,42.32,.00,.54,57.45,42.55,,,
President,Indiana,19441107,N/A,DEARBORN,County,"10,691","5,487","Dewey, Thomas E.",Challenger,"5,157","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,47,330,R,51.32,48.24,.00,.44,51.55,48.45,,,
President,Indiana,19441107,N/A,DECATUR,County,"9,003","5,479","Dewey, Thomas E.",Challenger,"3,471","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,53,"2,008",R,60.86,38.55,.00,.59,61.22,38.78,,,
President,Indiana,19441107,N/A,DEKALB,County,"12,387","7,479","Dewey, Thomas E.",Challenger,"4,810","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,98,"2,669",R,60.38,38.83,.00,.79,60.86,39.14,,,
President,Indiana,19441107,N/A,DELAWARE,County,"36,575","17,340","Dewey, Thomas E.",Challenger,"18,780","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,455,"1,440",D,47.41,51.35,.00,1.24,48.01,51.99,,,
President,Indiana,19441107,N/A,DUBOIS,County,"10,162","4,855","Dewey, Thomas E.",Challenger,"5,273","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,34,418,D,47.78,51.89,.00,.33,47.94,52.06,,,
President,Indiana,19441107,N/A,ELKHART,County,"34,208","20,659","Dewey, Thomas E.",Challenger,"12,991","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,558,"7,668",R,60.39,37.98,.00,1.63,61.39,38.61,,,
President,Indiana,19441107,N/A,FAYETTE,County,"10,938","5,603","Dewey, Thomas E.",Challenger,"5,299","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,36,304,R,51.23,48.45,.00,.33,51.39,48.61,,,
President,Indiana,19441107,N/A,FLOYD,County,"19,071","8,410","Dewey, Thomas E.",Challenger,"10,541","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,120,"2,131",D,44.10,55.27,.00,.63,44.38,55.62,,,
President,Indiana,19441107,N/A,FOUNTAIN,County,"9,625","5,557","Dewey, Thomas E.",Challenger,"4,022","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,46,"1,535",R,57.74,41.79,.00,.48,58.01,41.99,,,
President,Indiana,19441107,N/A,FRANKLIN,County,"6,346","3,796","Dewey, Thomas E.",Challenger,"2,530","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,20,"1,266",R,59.82,39.87,.00,.32,60.01,39.99,,,
President,Indiana,19441107,N/A,FULTON,County,"8,469","5,190","Dewey, Thomas E.",Challenger,"3,201","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,78,"1,989",R,61.28,37.80,.00,.92,61.85,38.15,,,
President,Indiana,19441107,N/A,GIBSON,County,"15,525","7,895","Dewey, Thomas E.",Challenger,"7,462","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,168,433,R,50.85,48.06,.00,1.08,51.41,48.59,,,
President,Indiana,19441107,N/A,GRANT,County,"26,379","14,527","Dewey, Thomas E.",Challenger,"11,031","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,821,"3,496",R,55.07,41.82,.00,3.11,56.84,43.16,,,
President,Indiana,19441107,N/A,GREENE,County,"15,086","8,213","Dewey, Thomas E.",Challenger,"6,744","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,129,"1,469",R,54.44,44.70,.00,.86,54.91,45.09,,,
President,Indiana,19441107,N/A,HAMILTON,County,"12,560","8,297","Dewey, Thomas E.",Challenger,"4,101","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,162,"4,196",R,66.06,32.65,.00,1.29,66.92,33.08,,,
President,Indiana,19441107,N/A,HANCOCK,County,"9,938","5,139","Dewey, Thomas E.",Challenger,"4,652","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,147,487,R,51.71,46.81,.00,1.48,52.49,47.51,,,
President,Indiana,19441107,N/A,HARRISON,County,"8,786","4,397","Dewey, Thomas E.",Challenger,"4,285","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,104,112,R,50.05,48.77,.00,1.18,50.65,49.35,,,
President,Indiana,19441107,N/A,HENDRICKS,County,"11,039","6,673","Dewey, Thomas E.",Challenger,"4,297","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,69,"2,376",R,60.45,38.93,.00,.63,60.83,39.17,,,
President,Indiana,19441107,N/A,HENRY,County,"19,296","10,583","Dewey, Thomas E.",Challenger,"8,297","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,416,"2,286",R,54.85,43.00,.00,2.16,56.05,43.95,,,
President,Indiana,19441107,N/A,HOWARD,County,"23,265","11,515","Dewey, Thomas E.",Challenger,"11,224","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,526,291,R,49.49,48.24,.00,2.26,50.64,49.36,,,
President,Indiana,19441107,N/A,HUNTINGTON,County,"15,166","8,668","Dewey, Thomas E.",Challenger,"6,128","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,370,"2,540",R,57.15,40.41,.00,2.44,58.58,41.42,,,
President,Indiana,19441107,N/A,JACKSON,County,"12,426","6,321","Dewey, Thomas E.",Challenger,"5,982","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,123,339,R,50.87,48.14,.00,.99,51.38,48.62,,,
President,Indiana,19441107,N/A,JASPER,County,"6,550","4,364","Dewey, Thomas E.",Challenger,"2,168","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,18,"2,196",R,66.63,33.10,.00,.27,66.81,33.19,,,
President,Indiana,19441107,N/A,JAY,County,"11,629","6,207","Dewey, Thomas E.",Challenger,"5,166","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,256,"1,041",R,53.38,44.42,.00,2.20,54.58,45.42,,,
President,Indiana,19441107,N/A,JEFFERSON,County,"10,234","5,748","Dewey, Thomas E.",Challenger,"4,376","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,110,"1,372",R,56.17,42.76,.00,1.07,56.78,43.22,,,
President,Indiana,19441107,N/A,JENNINGS,County,"6,219","3,643","Dewey, Thomas E.",Challenger,"2,537","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,39,"1,106",R,58.58,40.79,.00,.63,58.95,41.05,,,
President,Indiana,19441107,N/A,JOHNSON,County,"11,673","6,194","Dewey, Thomas E.",Challenger,"5,426","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,53,768,R,53.06,46.48,.00,.45,53.30,46.70,,,
President,Indiana,19441107,N/A,KNOX,County,"20,463","10,023","Dewey, Thomas E.",Challenger,"10,297","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,143,274,D,48.98,50.32,.00,.70,49.33,50.67,,,
President,Indiana,19441107,N/A,KOSCIUSKO,County,"14,708","9,577","Dewey, Thomas E.",Challenger,"4,865","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,266,"4,712",R,65.11,33.08,.00,1.81,66.31,33.69,,,
President,Indiana,19441107,N/A,LA PORTE,County,"30,568","16,543","Dewey, Thomas E.",Challenger,"13,896","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,129,"2,647",R,54.12,45.46,.00,.42,54.35,45.65,,,
President,Indiana,19441107,N/A,LAGRANGE,County,"5,095","3,501","Dewey, Thomas E.",Challenger,"1,539","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,55,"1,962",R,68.71,30.21,.00,1.08,69.46,30.54,,,
President,Indiana,19441107,N/A,LAKE,County,"123,950","48,147","Dewey, Thomas E.",Challenger,"75,066","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,737,"26,919",D,38.84,60.56,.00,.59,39.08,60.92,,,
President,Indiana,19441107,N/A,LAWRENCE,County,"14,515","9,200","Dewey, Thomas E.",Challenger,"5,246","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,69,"3,954",R,63.38,36.14,.00,.48,63.69,36.31,,,
President,Indiana,19441107,N/A,MADISON,County,"46,383","21,381","Dewey, Thomas E.",Challenger,"24,488","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,514,"3,107",D,46.10,52.80,.00,1.11,46.61,53.39,,,
President,Indiana,19441107,N/A,MARION,County,"223,837","116,421","Dewey, Thomas E.",Challenger,"106,382","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,"1,034","10,039",R,52.01,47.53,.00,.46,52.25,47.75,,,
President,Indiana,19441107,N/A,MARSHALL,County,"13,736","8,225","Dewey, Thomas E.",Challenger,"5,254","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,257,"2,971",R,59.88,38.25,.00,1.87,61.02,38.98,,,
President,Indiana,19441107,N/A,MARTIN,County,"4,997","2,467","Dewey, Thomas E.",Challenger,"2,515","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,15,48,D,49.37,50.33,.00,.30,49.52,50.48,,,
President,Indiana,19441107,N/A,MIAMI,County,"14,777","8,207","Dewey, Thomas E.",Challenger,"6,379","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,191,"1,828",R,55.54,43.17,.00,1.29,56.27,43.73,,,
President,Indiana,19441107,N/A,MONROE,County,"16,125","8,993","Dewey, Thomas E.",Challenger,"6,809","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,323,"2,184",R,55.77,42.23,.00,2.00,56.91,43.09,,,
President,Indiana,19441107,N/A,MONTGOMERY,County,"13,999","8,319","Dewey, Thomas E.",Challenger,"5,620","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,60,"2,699",R,59.43,40.15,.00,.43,59.68,40.32,,,
President,Indiana,19441107,N/A,MORGAN,County,"10,348","6,115","Dewey, Thomas E.",Challenger,"4,156","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,77,"1,959",R,59.09,40.16,.00,.74,59.54,40.46,,,
President,Indiana,19441107,N/A,NEWTON,County,"5,004","3,398","Dewey, Thomas E.",Challenger,"1,583","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,23,"1,815",R,67.91,31.63,.00,.46,68.22,31.78,,,
President,Indiana,19441107,N/A,NOBLE,County,"11,448","7,200","Dewey, Thomas E.",Challenger,"4,174","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,74,"3,026",R,62.89,36.46,.00,.65,63.30,36.70,,,
President,Indiana,19441107,N/A,OHIO,County,"2,184","1,126","Dewey, Thomas E.",Challenger,"1,043","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,15,83,R,51.56,47.76,.00,.69,51.91,48.09,,,
President,Indiana,19441107,N/A,ORANGE,County,"7,966","4,784","Dewey, Thomas E.",Challenger,"3,130","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,52,"1,654",R,60.06,39.29,.00,.65,60.45,39.55,,,
President,Indiana,19441107,N/A,OWEN,County,"5,975","3,318","Dewey, Thomas E.",Challenger,"2,602","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,55,716,R,55.53,43.55,.00,.92,56.05,43.95,,,
President,Indiana,19441107,N/A,PARKE,County,"8,048","4,751","Dewey, Thomas E.",Challenger,"3,241","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,56,"1,510",R,59.03,40.27,.00,.70,59.45,40.55,,,
President,Indiana,19441107,N/A,PERRY,County,"8,102","4,087","Dewey, Thomas E.",Challenger,"3,996","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,19,91,R,50.44,49.32,.00,.23,50.56,49.44,,,
President,Indiana,19441107,N/A,PIKE,County,"7,886","4,267","Dewey, Thomas E.",Challenger,"3,513","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,106,754,R,54.11,44.55,.00,1.34,54.85,45.15,,,
President,Indiana,19441107,N/A,PORTER,County,"14,146","8,561","Dewey, Thomas E.",Challenger,"5,528","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,57,"3,033",R,60.52,39.08,.00,.40,60.76,39.24,,,
President,Indiana,19441107,N/A,POSEY,County,"8,619","4,374","Dewey, Thomas E.",Challenger,"4,183","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,62,191,R,50.75,48.53,.00,.72,51.12,48.88,,,
President,Indiana,19441107,N/A,PULASKI,County,"5,826","3,206","Dewey, Thomas E.",Challenger,"2,509","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,111,697,R,55.03,43.07,.00,1.91,56.10,43.90,,,
President,Indiana,19441107,N/A,PUTNAM,County,"10,283","5,386","Dewey, Thomas E.",Challenger,"4,857","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,40,529,R,52.38,47.23,.00,.39,52.58,47.42,,,
President,Indiana,19441107,N/A,RANDOLPH,County,"12,758","7,805","Dewey, Thomas E.",Challenger,"4,590","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,363,"3,215",R,61.18,35.98,.00,2.85,62.97,37.03,,,
President,Indiana,19441107,N/A,RIPLEY,County,"9,544","5,642","Dewey, Thomas E.",Challenger,"3,835","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,67,"1,807",R,59.12,40.18,.00,.70,59.53,40.47,,,
President,Indiana,19441107,N/A,RUSH,County,"9,821","5,853","Dewey, Thomas E.",Challenger,"3,891","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,77,"1,962",R,59.60,39.62,.00,.78,60.07,39.93,,,
President,Indiana,19441107,N/A,SCOTT,County,"5,054","2,379","Dewey, Thomas E.",Challenger,"2,621","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,54,242,D,47.07,51.86,.00,1.07,47.58,52.42,,,
President,Indiana,19441107,N/A,SHELBY,County,"13,733","6,816","Dewey, Thomas E.",Challenger,"6,798","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,119,18,R,49.63,49.50,.00,.87,50.07,49.93,,,
President,Indiana,19441107,N/A,SPENCER,County,"8,686","4,986","Dewey, Thomas E.",Challenger,"3,647","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,53,"1,339",R,57.40,41.99,.00,.61,57.76,42.24,,,
President,Indiana,19441107,N/A,ST. JOSEPH,County,"87,589","39,875","Dewey, Thomas E.",Challenger,"47,149","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,565,"7,274",D,45.53,53.83,.00,.65,45.82,54.18,,,
President,Indiana,19441107,N/A,STARKE,County,"6,415","3,574","Dewey, Thomas E.",Challenger,"2,791","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,50,783,R,55.71,43.51,.00,.78,56.15,43.85,,,
President,Indiana,19441107,N/A,STEUBEN,County,"6,618","4,739","Dewey, Thomas E.",Challenger,"1,837","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,42,"2,902",R,71.61,27.76,.00,.63,72.07,27.93,,,
President,Indiana,19441107,N/A,SULLIVAN,County,"12,397","5,855","Dewey, Thomas E.",Challenger,"6,420","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,122,565,D,47.23,51.79,.00,.98,47.70,52.30,,,
President,Indiana,19441107,N/A,SWITZERLAND,County,"4,267","2,019","Dewey, Thomas E.",Challenger,"2,191","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,57,172,D,47.32,51.35,.00,1.34,47.96,52.04,,,
President,Indiana,19441107,N/A,TIPPECANOE,County,"26,212","15,888","Dewey, Thomas E.",Challenger,"10,229","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,95,"5,659",R,60.61,39.02,.00,.36,60.83,39.17,,,
President,Indiana,19441107,N/A,TIPTON,County,"7,843","4,296","Dewey, Thomas E.",Challenger,"3,427","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,120,869,R,54.77,43.70,.00,1.53,55.63,44.37,,,
President,Indiana,19441107,N/A,UNION,County,"3,169","1,998","Dewey, Thomas E.",Challenger,"1,154","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,17,844,R,63.05,36.42,.00,.54,63.39,36.61,,,
