PRESIDENT 1944
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Wyoming,19441107,N/A,ALBANY,County,"6,199","2,970","Dewey, Thomas E.",Challenger,"3,229","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,259,D,47.91,52.09,.00,.00,47.91,52.09,,,
President,Wyoming,19441107,N/A,BIG HORN,County,"4,973","2,659","Dewey, Thomas E.",Challenger,"2,314","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,345,R,53.47,46.53,.00,.00,53.47,46.53,,,
President,Wyoming,19441107,N/A,CAMPBELL,County,"2,408","1,514","Dewey, Thomas E.",Challenger,894,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,620,R,62.87,37.13,.00,.00,62.87,37.13,,,
President,Wyoming,19441107,N/A,CARBON,County,"5,681","2,698","Dewey, Thomas E.",Challenger,"2,983","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,285,D,47.49,52.51,.00,.00,47.49,52.51,,,
President,Wyoming,19441107,N/A,CONVERSE,County,"2,580","1,601","Dewey, Thomas E.",Challenger,979,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,622,R,62.05,37.95,.00,.00,62.05,37.95,,,
President,Wyoming,19441107,N/A,CROOK,County,"1,934","1,244","Dewey, Thomas E.",Challenger,690,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,554,R,64.32,35.68,.00,.00,64.32,35.68,,,
President,Wyoming,19441107,N/A,FREMONT,County,"5,370","3,193","Dewey, Thomas E.",Challenger,"2,177","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"1,016",R,59.46,40.54,.00,.00,59.46,40.54,,,
President,Wyoming,19441107,N/A,GOSHEN,County,"4,188","2,674","Dewey, Thomas E.",Challenger,"1,514","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,"1,160",R,63.85,36.15,.00,.00,63.85,36.15,,,
President,Wyoming,19441107,N/A,HOT SPRINGS,County,"1,846",877,"Dewey, Thomas E.",Challenger,969,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,92,D,47.51,52.49,.00,.00,47.51,52.49,,,
President,Wyoming,19441107,N/A,JOHNSON,County,"2,140","1,384","Dewey, Thomas E.",Challenger,756,"Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,628,R,64.67,35.33,.00,.00,64.67,35.33,,,
President,Wyoming,19441107,N/A,LARAMIE,County,"14,868","7,326","Dewey, Thomas E.",Challenger,"7,542","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,216,D,49.27,50.73,.00,.00,49.27,50.73,,,
President,Wyoming,19441107,N/A,LINCOLN,County,"3,789","1,649","Dewey, Thomas E.",Challenger,"2,140","Roosevelt, Franklin D.",Incumbent,N/A,N/A,N/A,N/A,N/A,491,D,43.52,56.48,.00,.00,43.52,56.48,,,
