PRESIDENT 1948
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Idaho,19481102,N/A,ADA,County,"26,705","14,972","Dewey, Thomas E.",Challenger,"11,253","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,480,"3,719",R,56.06,42.14,.00,1.80,57.09,42.91,,,
President,Idaho,19481102,N/A,ADAMS,County,"1,274",603,"Dewey, Thomas E.",Challenger,647,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,24,44,D,47.33,50.78,.00,1.88,48.24,51.76,,,
President,Idaho,19481102,N/A,BANNOCK,County,"15,560","5,580","Dewey, Thomas E.",Challenger,"9,679","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,301,"4,099",D,35.86,62.20,.00,1.93,36.57,63.43,,,
President,Idaho,19481102,N/A,BEAR LAKE,County,"3,280","1,590","Dewey, Thomas E.",Challenger,"1,664","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,26,74,D,48.48,50.73,.00,.79,48.86,51.14,,,
President,Idaho,19481102,N/A,BENEWAH,County,"2,731","1,038","Dewey, Thomas E.",Challenger,"1,590","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,103,552,D,38.01,58.22,.00,3.77,39.50,60.50,,,
President,Idaho,19481102,N/A,BINGHAM,County,"6,448","3,162","Dewey, Thomas E.",Challenger,"3,197","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,89,35,D,49.04,49.58,.00,1.38,49.72,50.28,,,
President,Idaho,19481102,N/A,BLAINE,County,"2,162",945,"Dewey, Thomas E.",Challenger,"1,182","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,35,237,D,43.71,54.67,.00,1.62,44.43,55.57,,,
President,Idaho,19481102,N/A,BOISE,County,940,437,"Dewey, Thomas E.",Challenger,479,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,24,42,D,46.49,50.96,.00,2.55,47.71,52.29,,,
President,Idaho,19481102,N/A,BONNER,County,"5,867","2,666","Dewey, Thomas E.",Challenger,"2,916","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,285,250,D,45.44,49.70,.00,4.86,47.76,52.24,,,
President,Idaho,19481102,N/A,BONNEVILLE,County,"10,001","4,499","Dewey, Thomas E.",Challenger,"5,382","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,120,883,D,44.99,53.81,.00,1.20,45.53,54.47,,,
