PRESIDENT 1948
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Michigan,19481102,N/A,ALCONA,County,"2,168","1,425","Dewey, Thomas E.",Challenger,708,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,35,717,R,65.73,32.66,.00,1.61,66.81,33.19,,,
President,Michigan,19481102,N/A,ALGER,County,"3,983","1,702","Dewey, Thomas E.",Challenger,"2,009","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,272,307,D,42.73,50.44,.00,6.83,45.86,54.14,,,
President,Michigan,19481102,N/A,ALLEGAN,County,"15,424","10,439","Dewey, Thomas E.",Challenger,"4,594","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,391,"5,845",R,67.68,29.78,.00,2.54,69.44,30.56,,,
President,Michigan,19481102,N/A,ALPENA,County,"7,152","4,313","Dewey, Thomas E.",Challenger,"2,743","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,96,"1,570",R,60.30,38.35,.00,1.34,61.13,38.87,,,
President,Michigan,19481102,N/A,ANTRIM,County,"3,849","2,588","Dewey, Thomas E.",Challenger,"1,129","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,132,"1,459",R,67.24,29.33,.00,3.43,69.63,30.37,,,
President,Michigan,19481102,N/A,ARENAC,County,"3,041","1,790","Dewey, Thomas E.",Challenger,"1,203","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,48,587,R,58.86,39.56,.00,1.58,59.81,40.19,,,
President,Michigan,19481102,N/A,BARAGA,County,"3,748","1,878","Dewey, Thomas E.",Challenger,"1,656","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,214,222,R,50.11,44.18,.00,5.71,53.14,46.86,,,
President,Michigan,19481102,N/A,BARRY,County,"8,768","5,677","Dewey, Thomas E.",Challenger,"2,726","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,365,"2,951",R,64.75,31.09,.00,4.16,67.56,32.44,,,
President,Michigan,19481102,N/A,BAY,County,"27,997","13,321","Dewey, Thomas E.",Challenger,"14,349","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,327,"1,028",D,47.58,51.25,.00,1.17,48.14,51.86,,,
President,Michigan,19481102,N/A,BENZIE,County,"3,089","2,013","Dewey, Thomas E.",Challenger,964,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,112,"1,049",R,65.17,31.21,.00,3.63,67.62,32.38,,,
