PRESIDENT 1948
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Oregon,19481102,N/A,BAKER,County,"6,040","2,841","Dewey, Thomas E.",Challenger,"3,035","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,164,194,D,47.04,50.25,.00,2.72,48.35,51.65,,,
President,Oregon,19481102,N/A,BENTON,County,"10,329","6,839","Dewey, Thomas E.",Challenger,"3,135","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,355,"3,704",R,66.21,30.35,.00,3.44,68.57,31.43,,,
President,Oregon,19481102,N/A,CLACKAMAS,County,"30,083","14,431","Dewey, Thomas E.",Challenger,"14,263","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,"1,389",168,R,47.97,47.41,.00,4.62,50.29,49.71,,,
President,Oregon,19481102,N/A,CLATSOP,County,"11,313","5,076","Dewey, Thomas E.",Challenger,"5,574","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,663,498,D,44.87,49.27,.00,5.86,47.66,52.34,,,
President,Oregon,19481102,N/A,COLUMBIA,County,"8,251","3,049","Dewey, Thomas E.",Challenger,"4,768","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,434,"1,719",D,36.95,57.79,.00,5.26,39.00,61.00,,,
President,Oregon,19481102,N/A,COOS,County,"11,562","5,536","Dewey, Thomas E.",Challenger,"5,453","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,573,83,R,47.88,47.16,.00,4.96,50.38,49.62,,,
President,Oregon,19481102,N/A,CROOK,County,"2,141",960,"Dewey, Thomas E.",Challenger,"1,149","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,32,189,D,44.84,53.67,.00,1.49,45.52,54.48,,,
President,Oregon,19481102,N/A,CURRY,County,"1,879","1,112","Dewey, Thomas E.",Challenger,677,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,90,435,R,59.18,36.03,.00,4.79,62.16,37.84,,,
President,Oregon,19481102,N/A,DESCHUTES,County,"7,163","3,463","Dewey, Thomas E.",Challenger,"3,499","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,201,36,D,48.35,48.85,.00,2.81,49.74,50.26,,,
President,Oregon,19481102,N/A,DOUGLAS,County,"13,612","7,671","Dewey, Thomas E.",Challenger,"5,500","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,441,"2,171",R,56.35,40.41,.00,3.24,58.24,41.76,,,
President,Oregon,19481102,N/A,GILLIAM,County,"1,184",623,"Dewey, Thomas E.",Challenger,544,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,17,79,R,52.62,45.95,.00,1.44,53.38,46.62,,,
President,Oregon,19481102,N/A,GRANT,County,"2,293","1,090","Dewey, Thomas E.",Challenger,"1,156","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,47,66,D,47.54,50.41,.00,2.05,48.53,51.47,,,
President,Oregon,19481102,N/A,HARNEY,County,"1,624",784,"Dewey, Thomas E.",Challenger,802,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,38,18,D,48.28,49.38,.00,2.34,49.43,50.57,,,
President,Oregon,19481102,N/A,HOOD RIVER,County,"4,042","2,134","Dewey, Thomas E.",Challenger,"1,761","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,147,373,R,52.80,43.57,.00,3.64,54.79,45.21,,,
President,Oregon,19481102,N/A,JACKSON,County,"19,072","11,226","Dewey, Thomas E.",Challenger,"7,342","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,504,"3,884",R,58.86,38.50,.00,2.64,60.46,39.54,,,
President,Oregon,19481102,N/A,JEFFERSON,County,"1,227",622,"Dewey, Thomas E.",Challenger,559,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,46,63,R,50.69,45.56,.00,3.75,52.67,47.33,,,
President,Oregon,19481102,N/A,JOSEPHINE,County,"8,588","5,004","Dewey, Thomas E.",Challenger,"3,290","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,294,"1,714",R,58.27,38.31,.00,3.42,60.33,39.67,,,
President,Oregon,19481102,N/A,KLAMATH,County,"14,898","7,072","Dewey, Thomas E.",Challenger,"7,520","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,306,448,D,47.47,50.48,.00,2.05,48.46,51.54,,,
