PRESIDENT 1948
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Texas,19481102,N/A,ANDERSON,County,"5,198","1,199","Dewey, Thomas E.",Challenger,"3,242","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,757,"2,043",D,23.07,62.37,.00,14.56,27.00,73.00,,,
President,Texas,19481102,N/A,ANDREWS,County,957,101,"Dewey, Thomas E.",Challenger,816,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,40,715,D,10.55,85.27,.00,4.18,11.01,88.99,,,
President,Texas,19481102,N/A,ANGELINA,County,"6,339","1,000","Dewey, Thomas E.",Challenger,"4,377","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,962,"3,377",D,15.78,69.05,.00,15.18,18.60,81.40,,,
President,Texas,19481102,N/A,ARANSAS,County,685,235,"Dewey, Thomas E.",Challenger,418,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,32,183,D,34.31,61.02,.00,4.67,35.99,64.01,,,
President,Texas,19481102,N/A,ARCHER,County,"1,855",191,"Dewey, Thomas E.",Challenger,"1,599","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,65,"1,408",D,10.30,86.20,.00,3.50,10.67,89.33,,,
President,Texas,19481102,N/A,ARMSTRONG,County,816,97,"Dewey, Thomas E.",Challenger,686,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,33,589,D,11.89,84.07,.00,4.04,12.39,87.61,,,
President,Texas,19481102,N/A,ATASCOSA,County,"2,732",704,"Dewey, Thomas E.",Challenger,"1,895","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,133,"1,191",D,25.77,69.36,.00,4.87,27.09,72.91,,,
President,Texas,19481102,N/A,AUSTIN,County,"2,865","1,260","Dewey, Thomas E.",Challenger,"1,252","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,353,8,R,43.98,43.70,.00,12.32,50.16,49.84,,,
President,Texas,19481102,N/A,BAILEY,County,"1,452",234,"Dewey, Thomas E.",Challenger,"1,115","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,103,881,D,16.12,76.79,.00,7.09,17.35,82.65,,,
President,Texas,19481102,N/A,BANDERA,County,"1,132",570,"Dewey, Thomas E.",Challenger,445,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,117,125,R,50.35,39.31,.00,10.34,56.16,43.84,,,
President,Texas,19481102,N/A,BASTROP,County,"3,237",443,"Dewey, Thomas E.",Challenger,"2,518","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,276,"2,075",D,13.69,77.79,.00,8.53,14.96,85.04,,,
President,Texas,19481102,N/A,BAYLOR,County,"1,676",101,"Dewey, Thomas E.",Challenger,"1,522","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,53,"1,421",D,6.03,90.81,.00,3.16,6.22,93.78,,,
President,Texas,19481102,N/A,BEE,County,"2,374",801,"Dewey, Thomas E.",Challenger,"1,441","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,132,640,D,33.74,60.70,.00,5.56,35.73,64.27,,,
President,Texas,19481102,N/A,BELL,County,"9,113","1,069","Dewey, Thomas E.",Challenger,"7,548","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,496,"6,479",D,11.73,82.83,.00,5.44,12.41,87.59,,,
President,Texas,19481102,N/A,BEXAR,County,"66,279","26,202","Dewey, Thomas E.",Challenger,"35,970","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,"4,107","9,768",D,39.53,54.27,.00,6.20,42.14,57.86,,,
President,Texas,19481102,N/A,BLANCO,County,"1,569",497,"Dewey, Thomas E.",Challenger,"1,003","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,69,506,D,31.68,63.93,.00,4.40,33.13,66.87,,,
President,Texas,19481102,N/A,BORDEN,County,233,18,"Dewey, Thomas E.",Challenger,203,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,12,185,D,7.73,87.12,.00,5.15,8.14,91.86,,,
President,Texas,19481102,N/A,BOSQUE,County,"2,956",501,"Dewey, Thomas E.",Challenger,"2,303","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,152,"1,802",D,16.95,77.91,.00,5.14,17.87,82.13,,,
President,Texas,19481102,N/A,BOWIE,County,"10,343","1,161","Dewey, Thomas E.",Challenger,"7,028","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,"2,154","4,874",D,11.22,67.95,.00,20.83,14.18,85.82,,,
President,Texas,19481102,N/A,BRAZORIA,County,"8,363","2,133","Dewey, Thomas E.",Challenger,"4,783","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,"1,447","2,650",D,25.51,57.19,.00,17.30,30.84,69.16,,,
President,Texas,19481102,N/A,BRAZOS,County,"5,530","1,533","Dewey, Thomas E.",Challenger,"3,459","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,538,"1,926",D,27.72,62.55,.00,9.73,30.71,69.29,,,
President,Texas,19481102,N/A,BREWSTER,County,"1,341",312,"Dewey, Thomas E.",Challenger,940,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,89,628,D,23.27,70.10,.00,6.64,24.92,75.08,,,
President,Texas,19481102,N/A,BRISCOE,County,807,83,"Dewey, Thomas E.",Challenger,692,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,32,609,D,10.29,85.75,.00,3.97,10.71,89.29,,,
President,Texas,19481102,N/A,BROOKS,County,"1,282",217,"Dewey, Thomas E.",Challenger,"1,029","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,36,812,D,16.93,80.27,.00,2.81,17.42,82.58,,,
President,Texas,19481102,N/A,BROWN,County,"6,481","1,071","Dewey, Thomas E.",Challenger,"5,059","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,351,"3,988",D,16.53,78.06,.00,5.42,17.47,82.53,,,
President,Texas,19481102,N/A,BURLESON,County,"2,434",240,"Dewey, Thomas E.",Challenger,"2,051","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,143,"1,811",D,9.86,84.26,.00,5.88,10.48,89.52,,,
President,Texas,19481102,N/A,BURNET,County,"2,324",287,"Dewey, Thomas E.",Challenger,"1,955","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,82,"1,668",D,12.35,84.12,.00,3.53,12.80,87.20,,,
President,Texas,19481102,N/A,CALDWELL,County,"3,616",623,"Dewey, Thomas E.",Challenger,"2,792","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,201,"2,169",D,17.23,77.21,.00,5.56,18.24,81.76,,,
President,Texas,19481102,N/A,CALHOUN,County,"1,030",346,"Dewey, Thomas E.",Challenger,589,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,95,243,D,33.59,57.18,.00,9.22,37.01,62.99,,,
President,Texas,19481102,N/A,CALLAHAN,County,"2,211",258,"Dewey, Thomas E.",Challenger,"1,844","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,109,"1,586",D,11.67,83.40,.00,4.93,12.27,87.73,,,
President,Texas,19481102,N/A,CAMERON,County,"11,859","4,689","Dewey, Thomas E.",Challenger,"6,778","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,392,"2,089",D,39.54,57.15,.00,3.31,40.89,59.11,,,
President,Texas,19481102,N/A,CAMP,County,"1,488",180,"Dewey, Thomas E.",Challenger,923,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,385,538,D,12.10,62.03,.00,25.87,16.32,83.68,,,
President,Texas,19481102,N/A,CARSON,County,"1,754",413,"Dewey, Thomas E.",Challenger,"1,301","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,40,888,D,23.55,74.17,.00,2.28,24.10,75.90,,,
President,Texas,19481102,N/A,CASS,County,"3,899",457,"Dewey, Thomas E.",Challenger,"2,540","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,902,"1,638",D,11.72,65.14,.00,23.13,15.25,84.75,,,
President,Texas,19481102,N/A,CASTRO,County,"1,374",189,"Dewey, Thomas E.",Challenger,"1,158","Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,27,969,D,13.76,84.28,.00,1.97,14.03,85.97,,,
President,Texas,19481102,N/A,CHAMBERS,County,"1,392",302,"Dewey, Thomas E.",Challenger,787,"Truman, Harry S.",Incumbent,States Rights,N/A,"Thurmond, James Strom",Challenger,303,484,D,21.70,56.54,.00,21.77,27.73,72.27,,,
