PRESIDENT 1956
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,North Dakota,19561104,N/A,ADAMS,County,"2,063","1,338","Eisenhower, Dwight D.",Incumbent,723,"Stevenson, Adlai E. II",Challenger,States Rights,2,"Uncommitted, NULL",Challenger,N/A,615,R,64.86,35.05,.10,.00,64.92,35.08,,,
President,North Dakota,19561104,N/A,BARNES,County,"7,219","4,475","Eisenhower, Dwight D.",Incumbent,"2,730","Stevenson, Adlai E. II",Challenger,States Rights,14,"Uncommitted, NULL",Challenger,N/A,"1,745",R,61.99,37.82,.19,.00,62.11,37.89,,,
President,North Dakota,19561104,N/A,BENSON,County,"4,203","2,340","Eisenhower, Dwight D.",Incumbent,"1,851","Stevenson, Adlai E. II",Challenger,States Rights,12,"Uncommitted, NULL",Challenger,N/A,489,R,55.67,44.04,.29,.00,55.83,44.17,,,
President,North Dakota,19561104,N/A,BILLINGS,County,689,437,"Eisenhower, Dwight D.",Incumbent,248,"Stevenson, Adlai E. II",Challenger,States Rights,4,"Uncommitted, NULL",Challenger,N/A,189,R,63.43,35.99,.58,.00,63.80,36.20,,,
President,North Dakota,19561104,N/A,BOTTINEAU,County,"4,646","2,923","Eisenhower, Dwight D.",Incumbent,"1,718","Stevenson, Adlai E. II",Challenger,States Rights,5,"Uncommitted, NULL",Challenger,N/A,"1,205",R,62.91,36.98,.11,.00,62.98,37.02,,,
President,North Dakota,19561104,N/A,BOWMAN,County,"1,726","1,007","Eisenhower, Dwight D.",Incumbent,715,"Stevenson, Adlai E. II",Challenger,States Rights,4,"Uncommitted, NULL",Challenger,N/A,292,R,58.34,41.43,.23,.00,58.48,41.52,,,
President,North Dakota,19561104,N/A,BURKE,County,"2,359","1,415","Eisenhower, Dwight D.",Incumbent,936,"Stevenson, Adlai E. II",Challenger,States Rights,8,"Uncommitted, NULL",Challenger,N/A,479,R,59.98,39.68,.34,.00,60.19,39.81,,,
President,North Dakota,19561104,N/A,BURLEIGH,County,"12,467","9,199","Eisenhower, Dwight D.",Incumbent,"3,231","Stevenson, Adlai E. II",Challenger,States Rights,37,"Uncommitted, NULL",Challenger,N/A,"5,968",R,73.79,25.92,.30,.00,74.01,25.99,,,
President,North Dakota,19561104,N/A,CASS,County,"26,770","16,932","Eisenhower, Dwight D.",Incumbent,"9,821","Stevenson, Adlai E. II",Challenger,States Rights,17,"Uncommitted, NULL",Challenger,N/A,"7,111",R,63.25,36.69,.06,.00,63.29,36.71,,,
President,North Dakota,19561104,N/A,CAVALIER,County,"4,295","2,450","Eisenhower, Dwight D.",Incumbent,"1,836","Stevenson, Adlai E. II",Challenger,States Rights,9,"Uncommitted, NULL",Challenger,N/A,614,R,57.04,42.75,.21,.00,57.16,42.84,,,
President,North Dakota,19561104,N/A,DICKEY,County,"3,770","2,327","Eisenhower, Dwight D.",Incumbent,"1,435","Stevenson, Adlai E. II",Challenger,States Rights,8,"Uncommitted, NULL",Challenger,N/A,892,R,61.72,38.06,.21,.00,61.86,38.14,,,
President,North Dakota,19561104,N/A,DIVIDE,County,"2,493","1,296","Eisenhower, Dwight D.",Incumbent,"1,194","Stevenson, Adlai E. II",Challenger,States Rights,3,"Uncommitted, NULL",Challenger,N/A,102,R,51.99,47.89,.12,.00,52.05,47.95,,,
President,North Dakota,19561104,N/A,DUNN,County,"2,628","1,567","Eisenhower, Dwight D.",Incumbent,"1,055","Stevenson, Adlai E. II",Challenger,States Rights,6,"Uncommitted, NULL",Challenger,N/A,512,R,59.63,40.14,.23,.00,59.76,40.24,,,
President,North Dakota,19561104,N/A,EDDY,County,"2,212","1,239","Eisenhower, Dwight D.",Incumbent,973,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,266,R,56.01,43.99,.00,.00,56.01,43.99,,,
President,North Dakota,19561104,N/A,EMMONS,County,"3,617","2,789","Eisenhower, Dwight D.",Incumbent,825,"Stevenson, Adlai E. II",Challenger,States Rights,3,"Uncommitted, NULL",Challenger,N/A,"1,964",R,77.11,22.81,.08,.00,77.17,22.83,,,
President,North Dakota,19561104,N/A,FOSTER,County,"2,306","1,234","Eisenhower, Dwight D.",Incumbent,"1,062","Stevenson, Adlai E. II",Challenger,States Rights,10,"Uncommitted, NULL",Challenger,N/A,172,R,53.51,46.05,.43,.00,53.75,46.25,,,
President,North Dakota,19561104,N/A,GOLDEN VALLEY,County,"1,397",824,"Eisenhower, Dwight D.",Incumbent,567,"Stevenson, Adlai E. II",Challenger,States Rights,6,"Uncommitted, NULL",Challenger,N/A,257,R,58.98,40.59,.43,.00,59.24,40.76,,,
President,North Dakota,19561104,N/A,GRAND FORKS,County,"16,550","10,289","Eisenhower, Dwight D.",Incumbent,"6,231","Stevenson, Adlai E. II",Challenger,States Rights,30,"Uncommitted, NULL",Challenger,N/A,"4,058",R,62.17,37.65,.18,.00,62.28,37.72,,,
President,North Dakota,19561104,N/A,GRANT,County,"2,599","1,872","Eisenhower, Dwight D.",Incumbent,718,"Stevenson, Adlai E. II",Challenger,States Rights,9,"Uncommitted, NULL",Challenger,N/A,"1,154",R,72.03,27.63,.35,.00,72.28,27.72,,,
President,North Dakota,19561104,N/A,GRIGGS,County,"2,387","1,212","Eisenhower, Dwight D.",Incumbent,"1,173","Stevenson, Adlai E. II",Challenger,States Rights,2,"Uncommitted, NULL",Challenger,N/A,39,R,50.78,49.14,.08,.00,50.82,49.18,,,
President,North Dakota,19561104,N/A,HETTINGER,County,"2,682","1,882","Eisenhower, Dwight D.",Incumbent,796,"Stevenson, Adlai E. II",Challenger,States Rights,4,"Uncommitted, NULL",Challenger,N/A,"1,086",R,70.17,29.68,.15,.00,70.28,29.72,,,
President,North Dakota,19561104,N/A,KIDDER,County,"2,237","1,523","Eisenhower, Dwight D.",Incumbent,708,"Stevenson, Adlai E. II",Challenger,States Rights,6,"Uncommitted, NULL",Challenger,N/A,815,R,68.08,31.65,.27,.00,68.27,31.73,,,
President,North Dakota,19561104,N/A,LA MOURE,County,"4,134","2,433","Eisenhower, Dwight D.",Incumbent,"1,694","Stevenson, Adlai E. II",Challenger,States Rights,7,"Uncommitted, NULL",Challenger,N/A,739,R,58.85,40.98,.17,.00,58.95,41.05,,,
President,North Dakota,19561104,N/A,LOGAN,County,"2,358","1,807","Eisenhower, Dwight D.",Incumbent,547,"Stevenson, Adlai E. II",Challenger,States Rights,4,"Uncommitted, NULL",Challenger,N/A,"1,260",R,76.63,23.20,.17,.00,76.76,23.24,,,
President,North Dakota,19561104,N/A,MCHENRY,County,"4,860","3,019","Eisenhower, Dwight D.",Incumbent,"1,825","Stevenson, Adlai E. II",Challenger,States Rights,16,"Uncommitted, NULL",Challenger,N/A,"1,194",R,62.12,37.55,.33,.00,62.32,37.68,,,
President,North Dakota,19561104,N/A,MCINTOSH,County,"3,193","2,689","Eisenhower, Dwight D.",Incumbent,498,"Stevenson, Adlai E. II",Challenger,States Rights,6,"Uncommitted, NULL",Challenger,N/A,"2,191",R,84.22,15.60,.19,.00,84.37,15.63,,,
President,North Dakota,19561104,N/A,MCKENZIE,County,"3,027","1,609","Eisenhower, Dwight D.",Incumbent,"1,405","Stevenson, Adlai E. II",Challenger,States Rights,13,"Uncommitted, NULL",Challenger,N/A,204,R,53.15,46.42,.43,.00,53.38,46.62,,,
President,North Dakota,19561104,N/A,MCLEAN,County,"6,280","3,653","Eisenhower, Dwight D.",Incumbent,"2,609","Stevenson, Adlai E. II",Challenger,States Rights,18,"Uncommitted, NULL",Challenger,N/A,"1,044",R,58.17,41.54,.29,.00,58.34,41.66,,,
