PRESIDENT 1956
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,South Dakota,19561104,N/A,AURORA,County,"2,429","1,055","Eisenhower, Dwight D.",Incumbent,"1,374","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,319,D,43.43,56.57,.00,.00,43.43,56.57,,,
President,South Dakota,19561104,N/A,BEADLE,County,"9,830","5,216","Eisenhower, Dwight D.",Incumbent,"4,614","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,602,R,53.06,46.94,.00,.00,53.06,46.94,,,
President,South Dakota,19561104,N/A,BENNETT,County,"1,431",746,"Eisenhower, Dwight D.",Incumbent,685,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,61,R,52.13,47.87,.00,.00,52.13,47.87,,,
President,South Dakota,19561104,N/A,BON HOMME,County,"4,840","2,696","Eisenhower, Dwight D.",Incumbent,"2,144","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,552,R,55.70,44.30,.00,.00,55.70,44.30,,,
President,South Dakota,19561104,N/A,BROOKINGS,County,"7,913","5,293","Eisenhower, Dwight D.",Incumbent,"2,620","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"2,673",R,66.89,33.11,.00,.00,66.89,33.11,,,
President,South Dakota,19561104,N/A,BROWN,County,"15,377","8,193","Eisenhower, Dwight D.",Incumbent,"7,184","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"1,009",R,53.28,46.72,.00,.00,53.28,46.72,,,
President,South Dakota,19561104,N/A,BRULE,County,"3,211","1,317","Eisenhower, Dwight D.",Incumbent,"1,894","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,577,D,41.02,58.98,.00,.00,41.02,58.98,,,
President,South Dakota,19561104,N/A,BUFFALO,County,632,314,"Eisenhower, Dwight D.",Incumbent,318,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,4,D,49.68,50.32,.00,.00,49.68,50.32,,,
President,South Dakota,19561104,N/A,BUTTE,County,"3,259","2,231","Eisenhower, Dwight D.",Incumbent,"1,028","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"1,203",R,68.46,31.54,.00,.00,68.46,31.54,,,
President,South Dakota,19561104,N/A,CAMPBELL,County,"1,557","1,268","Eisenhower, Dwight D.",Incumbent,289,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,979,R,81.44,18.56,.00,.00,81.44,18.56,,,
