PRESIDENT 1956
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Utah,19561104,N/A,BEAVER,County,"2,220","1,190","Eisenhower, Dwight D.",Incumbent,"1,030","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,160,R,53.60,46.40,.00,.00,53.60,46.40,,,
President,Utah,19561104,N/A,BOX ELDER,County,"8,493","5,804","Eisenhower, Dwight D.",Incumbent,"2,689","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"3,115",R,68.34,31.66,.00,.00,68.34,31.66,,,
President,Utah,19561104,N/A,CACHE,County,"14,020","10,349","Eisenhower, Dwight D.",Incumbent,"3,671","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"6,678",R,73.82,26.18,.00,.00,73.82,26.18,,,
President,Utah,19561104,N/A,CARBON,County,"8,967","4,507","Eisenhower, Dwight D.",Incumbent,"4,460","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,47,R,50.26,49.74,.00,.00,50.26,49.74,,,
President,Utah,19561104,N/A,DAGGETT,County,192,102,"Eisenhower, Dwight D.",Incumbent,90,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,12,R,53.13,46.88,.00,.00,53.13,46.88,,,
President,Utah,19561104,N/A,DAVIS,County,"18,172","12,122","Eisenhower, Dwight D.",Incumbent,"6,050","Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,"6,072",R,66.71,33.29,.00,.00,66.71,33.29,,,
President,Utah,19561104,N/A,DUCHESNE,County,"2,730","1,856","Eisenhower, Dwight D.",Incumbent,874,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,982,R,67.99,32.01,.00,.00,67.99,32.01,,,
President,Utah,19561104,N/A,EMERY,County,"2,622","1,679","Eisenhower, Dwight D.",Incumbent,943,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,736,R,64.04,35.96,.00,.00,64.04,35.96,,,
President,Utah,19561104,N/A,GARFIELD,County,"1,468","1,115","Eisenhower, Dwight D.",Incumbent,353,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,762,R,75.95,24.05,.00,.00,75.95,24.05,,,
President,Utah,19561104,N/A,GRAND,County,"1,372","1,044","Eisenhower, Dwight D.",Incumbent,328,"Stevenson, Adlai E. II",Challenger,States Rights,N/A,"Uncommitted, NULL",Challenger,N/A,716,R,76.09,23.91,.00,.00,76.09,23.91,,,
