PRESIDENT 1960
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Missouri,19601108,N/A,ADAIR,County,"8,629","5,469","Nixon, Richard M.",Challenger,"3,160","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"2,309",R,63.38,36.62,.00,.00,63.38,36.62,,,
President,Missouri,19601108,N/A,ANDREW,County,"5,886","3,716","Nixon, Richard M.",Challenger,"2,170","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,546",R,63.13,36.87,.00,.00,63.13,36.87,,,
President,Missouri,19601108,N/A,ATCHISON,County,"4,826","2,659","Nixon, Richard M.",Challenger,"2,167","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,492,R,55.10,44.90,.00,.00,55.10,44.90,,,
President,Missouri,19601108,N/A,AUDRAIN,County,"11,365","4,955","Nixon, Richard M.",Challenger,"6,410","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,455",D,43.60,56.40,.00,.00,43.60,56.40,,,
President,Missouri,19601108,N/A,BARRY,County,"10,625","6,706","Nixon, Richard M.",Challenger,"3,919","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"2,787",R,63.12,36.88,.00,.00,63.12,36.88,,,
President,Missouri,19601108,N/A,BARTON,County,"6,120","3,703","Nixon, Richard M.",Challenger,"2,417","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,286",R,60.51,39.49,.00,.00,60.51,39.49,,,
President,Missouri,19601108,N/A,BATES,County,"9,335","5,429","Nixon, Richard M.",Challenger,"3,906","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,523",R,58.16,41.84,.00,.00,58.16,41.84,,,
President,Missouri,19601108,N/A,BENTON,County,"4,980","3,484","Nixon, Richard M.",Challenger,"1,496","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,988",R,69.96,30.04,.00,.00,69.96,30.04,,,
President,Missouri,19601108,N/A,BOLLINGER,County,"4,821","2,886","Nixon, Richard M.",Challenger,"1,935","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,951,R,59.86,40.14,.00,.00,59.86,40.14,,,
President,Missouri,19601108,N/A,BOONE,County,"21,967","10,453","Nixon, Richard M.",Challenger,"11,514","Kennedy, John F.",Challenger,Unpledged Democrat,N/A,"Byrd, Harry F.",Challenger,N/A,"1,061",D,47.59,52.41,.00,.00,47.59,52.41,,,
