PRESIDENT 1964
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Kentucky,19641103,N/A,ADAIR,County,"5,927","3,052","Goldwater, Barry M. Sr.",Challenger,"2,854","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,21,198,R,51.49,48.15,.00,.35,51.68,48.32,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,ALLEN,County,"4,342","2,309","Goldwater, Barry M. Sr.",Challenger,"2,023","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,10,286,R,53.18,46.59,.00,.23,53.30,46.70,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,ANDERSON,County,"3,586","1,085","Goldwater, Barry M. Sr.",Challenger,"2,491","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,10,"1,406",D,30.26,69.46,.00,.28,30.34,69.66,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BALLARD,County,"3,409",519,"Goldwater, Barry M. Sr.",Challenger,"2,867","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,23,"2,348",D,15.22,84.10,.00,.67,15.33,84.67,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BARREN,County,"9,380","2,936","Goldwater, Barry M. Sr.",Challenger,"6,420","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,24,"3,484",D,31.30,68.44,.00,.26,31.38,68.62,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BATH,County,"3,587","1,009","Goldwater, Barry M. Sr.",Challenger,"2,571","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,7,"1,562",D,28.13,71.68,.00,.20,28.18,71.82,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BELL,County,"11,227","4,185","Goldwater, Barry M. Sr.",Challenger,"6,979","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,63,"2,794",D,37.28,62.16,.00,.56,37.49,62.51,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BOONE,County,"8,522","3,430","Goldwater, Barry M. Sr.",Challenger,"5,077","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,15,"1,647",D,40.25,59.58,.00,.18,40.32,59.68,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BOURBON,County,"5,316","1,222","Goldwater, Barry M. Sr.",Challenger,"4,068","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,26,"2,846",D,22.99,76.52,.00,.49,23.10,76.90,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
President,Kentucky,19641103,N/A,BOYD,County,"18,437","6,941","Goldwater, Barry M. Sr.",Challenger,"11,436","Johnson, Lyndon B.",Incumbent,Unpledged Democrat,N/A,"Unpledged Delegates, NULL",Challenger,60,"4,495",D,37.65,62.03,.00,.33,37.77,62.23,"Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket","Notes for the 1964 Presidential Election: In Alabama, 210,732 votes were cast for an unpledged Democratic elector ticket",
