PRESIDENT 1968
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Alabama,19681105,N/A,AUTAUGA,County,"7,782",606,"Nixon, Richard M.",Challenger,"1,553","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"5,523","Wallace, George C.",Challenger,100,"3,970",AIP,7.79,19.96,70.97,1.29,28.07,71.93,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BALDWIN,County,"18,404","2,154","Nixon, Richard M.",Challenger,"1,821","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"14,167","Wallace, George C.",Challenger,262,"12,013",AIP,11.70,9.89,76.98,1.42,54.19,45.81,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BARBOUR,County,"7,946",386,"Nixon, Richard M.",Challenger,"1,898","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"5,491","Wallace, George C.",Challenger,171,"3,593",AIP,4.86,23.89,69.10,2.15,16.90,83.10,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BIBB,County,"4,673",263,"Nixon, Richard M.",Challenger,652,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"3,746","Wallace, George C.",Challenger,12,"3,094",AIP,5.63,13.95,80.16,.26,28.74,71.26,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BLOUNT,County,"9,086","2,013","Nixon, Richard M.",Challenger,331,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"6,536","Wallace, George C.",Challenger,206,"4,523",AIP,22.15,3.64,71.93,2.27,85.88,14.12,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BULLOCK,County,"4,347",190,"Nixon, Richard M.",Challenger,"1,964","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"2,161","Wallace, George C.",Challenger,32,197,AIP,4.37,45.18,49.71,.74,8.82,91.18,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,BUTLER,County,"7,361",500,"Nixon, Richard M.",Challenger,"1,240","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"5,601","Wallace, George C.",Challenger,20,"4,361",AIP,6.79,16.85,76.09,.27,28.74,71.26,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CALHOUN,County,"26,775","3,061","Nixon, Richard M.",Challenger,"4,146","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"19,211","Wallace, George C.",Challenger,357,"15,065",AIP,11.43,15.48,71.75,1.33,42.47,57.53,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CHAMBERS,County,"10,636","1,082","Nixon, Richard M.",Challenger,"1,358","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"7,885","Wallace, George C.",Challenger,311,"6,527",AIP,10.17,12.77,74.14,2.92,44.34,55.66,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CHEROKEE,County,"5,685",343,"Nixon, Richard M.",Challenger,462,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"4,773","Wallace, George C.",Challenger,107,"4,311",AIP,6.03,8.13,83.96,1.88,42.61,57.39,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CHILTON,County,"8,902","1,602","Nixon, Richard M.",Challenger,566,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"6,611","Wallace, George C.",Challenger,123,"5,009",AIP,18.00,6.36,74.26,1.38,73.89,26.11,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CHOCTAW,County,"6,093",176,"Nixon, Richard M.",Challenger,"1,641","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"4,250","Wallace, George C.",Challenger,26,"2,609",AIP,2.89,26.93,69.75,.43,9.69,90.31,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CLARKE,County,"8,626",488,"Nixon, Richard M.",Challenger,"1,717","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"6,168","Wallace, George C.",Challenger,253,"4,451",AIP,5.66,19.90,71.50,2.93,22.13,77.87,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CLAY,County,"5,044",706,"Nixon, Richard M.",Challenger,256,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"4,048","Wallace, George C.",Challenger,34,"3,342",AIP,14.00,5.08,80.25,.67,73.39,26.61,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CLEBURNE,County,"3,995",485,"Nixon, Richard M.",Challenger,160,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"3,314","Wallace, George C.",Challenger,36,"2,829",AIP,12.14,4.01,82.95,.90,75.19,24.81,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,COFFEE,County,"10,766",682,"Nixon, Richard M.",Challenger,"1,071","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"8,885","Wallace, George C.",Challenger,128,"7,814",AIP,6.33,9.95,82.53,1.19,38.90,61.10,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,COLBERT,County,"15,621","1,727","Nixon, Richard M.",Challenger,"2,291","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"11,341","Wallace, George C.",Challenger,262,"9,050",AIP,11.06,14.67,72.60,1.68,42.98,57.02,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Alabama,19681105,N/A,CONECUH,County,"5,346",186,"Nixon, Richard M.",Challenger,"1,151","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"3,828","Wallace, George C.",Challenger,181,"2,677",AIP,3.48,21.53,71.60,3.39,13.91,86.09,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
