PRESIDENT 1968
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Colorado,19681105,N/A,ADAMS,County,"55,493","24,343","Nixon, Richard M.",Challenger,"25,111","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"5,702","Wallace, George C.",Challenger,337,768,D,43.87,45.25,10.28,.61,49.22,50.78,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,ALAMOSA,County,"4,140","2,277","Nixon, Richard M.",Challenger,"1,574","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,287,"Wallace, George C.",Challenger,2,703,R,55.00,38.02,6.93,.05,59.13,40.87,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,ARAPAHOE,County,"56,603","33,712","Nixon, Richard M.",Challenger,"18,569","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"3,953","Wallace, George C.",Challenger,369,"15,143",R,59.56,32.81,6.98,.65,64.48,35.52,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,ARCHULETA,County,979,486,"Nixon, Richard M.",Challenger,409,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,83,"Wallace, George C.",Challenger,1,77,R,49.64,41.78,8.48,.10,54.30,45.70,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,BACA,County,"2,504","1,441","Nixon, Richard M.",Challenger,719,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,340,"Wallace, George C.",Challenger,4,722,R,57.55,28.71,13.58,.16,66.71,33.29,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,BENT,County,"2,591","1,228","Nixon, Richard M.",Challenger,"1,126","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,231,"Wallace, George C.",Challenger,6,102,R,47.39,43.46,8.92,.23,52.17,47.83,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,BOULDER,County,"48,079","27,671","Nixon, Richard M.",Challenger,"17,422","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"2,497","Wallace, George C.",Challenger,489,"10,249",R,57.55,36.24,5.19,1.02,61.36,38.64,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,CHAFFEE,County,"4,155","2,121","Nixon, Richard M.",Challenger,"1,667","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,358,"Wallace, George C.",Challenger,9,454,R,51.05,40.12,8.62,.22,55.99,44.01,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,CHEYENNE,County,"1,193",664,"Nixon, Richard M.",Challenger,392,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,136,"Wallace, George C.",Challenger,1,272,R,55.66,32.86,11.40,.08,62.88,37.12,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Colorado,19681105,N/A,CLEAR CREEK,County,"1,918","1,011","Nixon, Richard M.",Challenger,719,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,183,"Wallace, George C.",Challenger,5,292,R,52.71,37.49,9.54,.26,58.44,41.56,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
