PRESIDENT 1968
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Utah,19681105,N/A,BEAVER,County,"1,944",989,"Nixon, Richard M.",Challenger,795,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,158,"Wallace, George C.",Challenger,2,194,R,50.87,40.90,8.13,.10,55.44,44.56,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,BOX ELDER,County,"11,688","7,680","Nixon, Richard M.",Challenger,"3,093","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,907,"Wallace, George C.",Challenger,8,"4,587",R,65.71,26.46,7.76,.07,71.29,28.71,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,CACHE,County,"17,303","11,906","Nixon, Richard M.",Challenger,"4,327","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"1,050","Wallace, George C.",Challenger,20,"7,579",R,68.81,25.01,6.07,.12,73.34,26.66,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,CARBON,County,"7,239","2,618","Nixon, Richard M.",Challenger,"4,344","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,271,"Wallace, George C.",Challenger,6,"1,726",D,36.17,60.01,3.74,.08,37.60,62.40,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,DAGGETT,County,291,152,"Nixon, Richard M.",Challenger,97,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,42,"Wallace, George C.",Challenger,N/A,55,R,52.23,33.33,14.43,.00,61.04,38.96,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,DAVIS,County,"34,087","20,658","Nixon, Richard M.",Challenger,"10,624","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"2,787","Wallace, George C.",Challenger,18,"10,034",R,60.60,31.17,8.18,.05,66.04,33.96,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,DUCHESNE,County,"2,834","1,733","Nixon, Richard M.",Challenger,858,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,243,"Wallace, George C.",Challenger,N/A,875,R,61.15,30.28,8.57,.00,66.89,33.11,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,EMERY,County,"2,403","1,223","Nixon, Richard M.",Challenger,"1,019","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,161,"Wallace, George C.",Challenger,N/A,204,R,50.89,42.41,6.70,.00,54.55,45.45,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,GARFIELD,County,"1,487","1,033","Nixon, Richard M.",Challenger,314,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,139,"Wallace, George C.",Challenger,1,719,R,69.47,21.12,9.35,.07,76.69,23.31,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,GRAND,County,"2,357","1,435","Nixon, Richard M.",Challenger,707,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,215,"Wallace, George C.",Challenger,N/A,728,R,60.88,30.00,9.12,.00,66.99,33.01,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,IRON,County,"5,011","3,337","Nixon, Richard M.",Challenger,"1,157","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,514,"Wallace, George C.",Challenger,3,"2,180",R,66.59,23.09,10.26,.06,74.25,25.75,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,JUAB,County,"2,226","1,201","Nixon, Richard M.",Challenger,907,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,118,"Wallace, George C.",Challenger,N/A,294,R,53.95,40.75,5.30,.00,56.97,43.03,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,KANE,County,"1,135",814,"Nixon, Richard M.",Challenger,147,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,174,"Wallace, George C.",Challenger,N/A,640,R,71.72,12.95,15.33,.00,84.70,15.30,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,MILLARD,County,"3,509","2,318","Nixon, Richard M.",Challenger,971,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,220,"Wallace, George C.",Challenger,N/A,"1,347",R,66.06,27.67,6.27,.00,70.48,29.52,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,MORGAN,County,"1,703","1,020","Nixon, Richard M.",Challenger,551,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,130,"Wallace, George C.",Challenger,2,469,R,59.89,32.35,7.63,.12,64.93,35.07,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,PIUTE,County,638,411,"Nixon, Richard M.",Challenger,167,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,60,"Wallace, George C.",Challenger,N/A,244,R,64.42,26.18,9.40,.00,71.11,28.89,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,RICH,County,747,525,"Nixon, Richard M.",Challenger,183,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,39,"Wallace, George C.",Challenger,N/A,342,R,70.28,24.50,5.22,.00,74.15,25.85,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,SALT LAKE,County,"188,663","101,942","Nixon, Richard M.",Challenger,"77,247","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,"9,323","Wallace, George C.",Challenger,151,"24,695",R,54.03,40.94,4.94,.08,56.89,43.11,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,SAN JUAN,County,"2,335","1,393","Nixon, Richard M.",Challenger,680,"Humphrey, Hubert Horatio Jr.",Challenger,American Independent,262,"Wallace, George C.",Challenger,N/A,713,R,59.66,29.12,11.22,.00,67.20,32.80,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
President,Utah,19681105,N/A,SANPETE,County,"5,312","3,304","Nixon, Richard M.",Challenger,"1,696","Humphrey, Hubert Horatio Jr.",Challenger,American Independent,307,"Wallace, George C.",Challenger,5,"1,608",R,62.20,31.93,5.78,.09,66.08,33.92,"In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.","In Georgia, Kentucky, and Michigan, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" is included.",
