PRESIDENT 1972
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Louisiana,19721107,N/A,ACADIA,Parish,"15,194","9,698","Nixon, Richard M.",Incumbent,"4,406","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,"1,090","5,292",R,63.83,29.00,.00,7.17,68.76,31.24,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,ALLEN,Parish,"6,028","3,581","Nixon, Richard M.",Incumbent,"2,029","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,418,"1,552",R,59.41,33.66,.00,6.93,63.83,36.17,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,ASCENSION,Parish,"9,521","5,187","Nixon, Richard M.",Incumbent,"3,324","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,"1,010","1,863",R,54.48,34.91,.00,10.61,60.94,39.06,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,ASSUMPTION,Parish,"6,365","3,751","Nixon, Richard M.",Incumbent,"2,065","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,549,"1,686",R,58.93,32.44,.00,8.63,64.49,35.51,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,AVOYELLES,Parish,"10,778","6,225","Nixon, Richard M.",Incumbent,"3,395","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,"1,158","2,830",R,57.76,31.50,.00,10.74,64.71,35.29,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,BEAUREGARD,Parish,"7,139","4,955","Nixon, Richard M.",Incumbent,"1,728","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,456,"3,227",R,69.41,24.21,.00,6.39,74.14,25.86,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,BIENVILLE,Parish,"5,737","3,384","Nixon, Richard M.",Incumbent,"1,890","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,463,"1,494",R,58.99,32.94,.00,8.07,64.16,35.84,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,BOSSIER,Parish,"16,350","12,856","Nixon, Richard M.",Incumbent,"2,914","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,580,"9,942",R,78.63,17.82,.00,3.55,81.52,18.48,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,CADDO,Parish,"65,867","47,215","Nixon, Richard M.",Incumbent,"15,649","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,"3,003","31,566",R,71.68,23.76,.00,4.56,75.11,24.89,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,CALCASIEU,Parish,"42,925","24,778","Nixon, Richard M.",Incumbent,"15,330","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,"2,817","9,448",R,57.72,35.71,.00,6.56,61.78,38.22,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,CALDWELL,Parish,"2,995","2,306","Nixon, Richard M.",Incumbent,508,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,181,"1,798",R,76.99,16.96,.00,6.04,81.95,18.05,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Louisiana,19721107,N/A,CAMERON,Parish,"2,284","1,391","Nixon, Richard M.",Incumbent,739,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,154,652,R,60.90,32.36,.00,6.74,65.31,34.69,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
