PRESIDENT 1972
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,South Dakota,19721107,N/A,AURORA,County,"2,339","1,075","Nixon, Richard M.",Incumbent,"1,257","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,7,182,D,45.96,53.74,.00,.30,46.10,53.90,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BEADLE,County,"10,244","5,922","Nixon, Richard M.",Incumbent,"4,297","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,25,"1,625",R,57.81,41.95,.00,.24,57.95,42.05,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BENNETT,County,"1,286",808,"Nixon, Richard M.",Incumbent,476,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,2,332,R,62.83,37.01,.00,.16,62.93,37.07,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BON HOMME,County,"4,493","2,116","Nixon, Richard M.",Incumbent,"2,368","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,9,252,D,47.10,52.70,.00,.20,47.19,52.81,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BROOKINGS,County,"9,916","5,182","Nixon, Richard M.",Incumbent,"4,701","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,33,481,R,52.26,47.41,.00,.33,52.43,47.57,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BROWN,County,"16,451","8,134","Nixon, Richard M.",Incumbent,"8,216","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,101,82,D,49.44,49.94,.00,.61,49.75,50.25,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BRULE,County,"3,097","1,421","Nixon, Richard M.",Incumbent,"1,665","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,11,244,D,45.88,53.76,.00,.36,46.05,53.95,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BUFFALO,County,497,221,"Nixon, Richard M.",Incumbent,275,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,1,54,D,44.47,55.33,.00,.20,44.56,55.44,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,BUTTE,County,"3,563","2,452","Nixon, Richard M.",Incumbent,"1,085","McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,26,"1,367",R,68.82,30.45,.00,.73,69.32,30.68,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Dakota,19721107,N/A,CAMPBELL,County,"1,537","1,169","Nixon, Richard M.",Incumbent,361,"McGovern, George S.",Challenger,N/A,N/A,N/A,N/A,7,808,R,76.06,23.49,.00,.46,76.41,23.59,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
