PRESIDENT 1976
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Maine,19761102,N/A,ANDROSCOGGIN,County,"43,665","16,330","Ford, Gerald R.",Incumbent,"26,484","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,851,"10,154",D,37.40,60.65,.00,1.95,38.14,61.86,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,AROOSTOOK,County,"32,051","15,550","Ford, Gerald R.",Incumbent,"15,484","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,017",66,R,48.52,48.31,.00,3.17,50.11,49.89,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,CUMBERLAND,County,"98,626","48,959","Ford, Gerald R.",Incumbent,"47,007","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"2,660","1,952",R,49.64,47.66,.00,2.70,51.02,48.98,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,FRANKLIN,County,"11,384","5,799","Ford, Gerald R.",Incumbent,"5,140","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,445,659,R,50.94,45.15,.00,3.91,53.01,46.99,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,HANCOCK,County,"19,647","12,064","Ford, Gerald R.",Incumbent,"6,725","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,858,"5,339",R,61.40,34.23,.00,4.37,64.21,35.79,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,KENNEBEC,County,"47,412","22,534","Ford, Gerald R.",Incumbent,"23,473","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,405",939,D,47.53,49.51,.00,2.96,48.98,51.02,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,KNOX,County,"14,786","8,315","Ford, Gerald R.",Incumbent,"5,922","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,549,"2,393",R,56.24,40.05,.00,3.71,58.40,41.60,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,LINCOLN,County,"12,797","7,554","Ford, Gerald R.",Incumbent,"4,818","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,425,"2,736",R,59.03,37.65,.00,3.32,61.06,38.94,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,OXFORD,County,"21,516","10,551","Ford, Gerald R.",Incumbent,"10,340","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,625,211,R,49.04,48.06,.00,2.90,50.51,49.49,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,PENOBSCOT,County,"55,613","29,016","Ford, Gerald R.",Incumbent,"24,672","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,925","4,344",R,52.17,44.36,.00,3.46,54.05,45.95,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,PISCATAQUIS,County,"8,090","4,084","Ford, Gerald R.",Incumbent,"3,727","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,279,357,R,50.48,46.07,.00,3.45,52.29,47.71,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,SAGADAHOC,County,"11,876","5,988","Ford, Gerald R.",Incumbent,"5,529","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,359,459,R,50.42,46.56,.00,3.02,51.99,48.01,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,SOMERSET,County,"18,966","8,868","Ford, Gerald R.",Incumbent,"9,465","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,633,597,D,46.76,49.91,.00,3.34,48.37,51.63,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,WALDO,County,"11,633","6,289","Ford, Gerald R.",Incumbent,"4,853","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,491,"1,436",R,54.06,41.72,.00,4.22,56.44,43.56,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,WASHINGTON,County,"14,235","7,039","Ford, Gerald R.",Incumbent,"6,644","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,552,395,R,49.45,46.67,.00,3.88,51.44,48.56,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maine,19761102,N/A,YORK,County,"60,919","27,380","Ford, Gerald R.",Incumbent,"31,996","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,543","4,616",D,44.94,52.52,.00,2.53,46.11,53.89,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Maine,"483,216","236,320","232,279",N/A,"14,617","4,041",R,"4,041",R,48.91,48.07,.00,3.02,50.43,49.57
,
,
,
