PRESIDENT 1976
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,South Carolina,19761102,N/A,ABBEVILLE,County,"6,527","1,791","Ford, Gerald R.",Incumbent,"4,700","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,36,"2,909",D,27.44,72.01,.00,.55,27.59,72.41,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,AIKEN,County,"31,173","16,011","Ford, Gerald R.",Incumbent,"14,927","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,235,"1,084",R,51.36,47.88,.00,.75,51.75,48.25,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,ALLENDALE,County,"3,709","1,064","Ford, Gerald R.",Incumbent,"2,634","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,11,"1,570",D,28.69,71.02,.00,.30,28.77,71.23,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,ANDERSON,County,"28,654","9,496","Ford, Gerald R.",Incumbent,"19,002","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,156,"9,506",D,33.14,66.32,.00,.54,33.32,66.68,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,BAMBERG,County,"5,218","1,849","Ford, Gerald R.",Incumbent,"3,330","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,39,"1,481",D,35.44,63.82,.00,.75,35.70,64.30,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,BARNWELL,County,"6,652","2,569","Ford, Gerald R.",Incumbent,"4,083","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,N/A,"1,514",D,38.62,61.38,.00,.00,38.62,61.38,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,BEAUFORT,County,"12,052","5,935","Ford, Gerald R.",Incumbent,"6,049","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,68,114,D,49.24,50.19,.00,.56,49.52,50.48,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,BERKELEY,County,"16,795","6,981","Ford, Gerald R.",Incumbent,"9,741","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,73,"2,760",D,41.57,58.00,.00,.43,41.75,58.25,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,CALHOUN,County,"3,468","1,382","Ford, Gerald R.",Incumbent,"2,055","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,31,673,D,39.85,59.26,.00,.89,40.21,59.79,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,South Carolina,19761102,N/A,CHARLESTON,County,"69,265","34,010","Ford, Gerald R.",Incumbent,"34,328","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,927,318,D,49.10,49.56,.00,1.34,49.77,50.23,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
