PRESIDENT 1976
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Washington,19761102,N/A,ADAMS,County,"4,773","2,795","Ford, Gerald R.",Incumbent,"1,790","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,188,"1,005",R,58.56,37.50,.00,3.94,60.96,39.04,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,ASOTIN,County,"5,828","2,752","Ford, Gerald R.",Incumbent,"2,898","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,178,146,D,47.22,49.73,.00,3.05,48.71,51.29,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,BENTON,County,"34,611","22,135","Ford, Gerald R.",Incumbent,"11,306","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"1,170","10,829",R,63.95,32.67,.00,3.38,66.19,33.81,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,CHELAN,County,"18,692","10,492","Ford, Gerald R.",Incumbent,"7,623","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,577,"2,869",R,56.13,40.78,.00,3.09,57.92,42.08,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,CLALLAM,County,"18,386","9,132","Ford, Gerald R.",Incumbent,"8,268","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,986,864,R,49.67,44.97,.00,5.36,52.48,47.52,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,CLARK,County,"61,201","27,938","Ford, Gerald R.",Incumbent,"31,080","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,"2,183","3,142",D,45.65,50.78,.00,3.57,47.34,52.66,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,COLUMBIA,County,"2,034","1,153","Ford, Gerald R.",Incumbent,829,"Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,52,324,R,56.69,40.76,.00,2.56,58.17,41.83,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,COWLITZ,County,"28,406","12,531","Ford, Gerald R.",Incumbent,"14,958","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,917,"2,427",D,44.11,52.66,.00,3.23,45.59,54.41,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,DOUGLAS,County,"8,564","4,547","Ford, Gerald R.",Incumbent,"3,809","Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,208,738,R,53.09,44.48,.00,2.43,54.42,45.58,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Washington,19761102,N/A,FERRY,County,"1,692",776,"Ford, Gerald R.",Incumbent,814,"Carter, Jimmy",Challenger,N/A,N/A,N/A,N/A,102,38,D,45.86,48.11,.00,6.03,48.81,51.19,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
