PRESIDENT 1980
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Arizona,19801104,N/A,APACHE,County,"10,595","5,991","Reagan, Ronald",Challenger,"3,917","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,687,"2,074",R,56.55,36.97,.00,6.48,60.47,39.53,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,COCHISE,County,"22,445","13,351","Reagan, Ronald",Challenger,"7,028","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,066","6,323",R,59.48,31.31,.00,9.20,65.51,34.49,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,COCONINO,County,"26,199","14,613","Reagan, Ronald",Challenger,"7,832","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"3,754","6,781",R,55.78,29.89,.00,14.33,65.11,34.89,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,GILA,County,"13,399","7,405","Reagan, Ronald",Challenger,"5,068","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,926,"2,337",R,55.27,37.82,.00,6.91,59.37,40.63,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,GRAHAM,County,"7,961","4,765","Reagan, Ronald",Challenger,"2,801","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,395,"1,964",R,59.85,35.18,.00,4.96,62.98,37.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,GREENLEE,County,"3,782","1,537","Reagan, Ronald",Challenger,"2,043","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,202,506,D,40.64,54.02,.00,5.34,42.93,57.07,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,MARICOPA,County,"486,834","316,287","Reagan, Ronald",Challenger,"119,752","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"50,795","196,535",R,64.97,24.60,.00,10.43,72.54,27.46,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,MOHAVE,County,"20,054","13,809","Reagan, Ronald",Challenger,"4,900","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,345","8,909",R,68.86,24.43,.00,6.71,73.81,26.19,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,NAVAJO,County,"16,882","10,790","Reagan, Ronald",Challenger,"5,110","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,982,"5,680",R,63.91,30.27,.00,5.82,67.86,32.14,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,PIMA,County,"187,057","93,055","Reagan, Ronald",Challenger,"64,418","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"29,584","28,637",R,49.75,34.44,.00,15.82,59.09,40.91,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,PINAL,County,"23,258","12,195","Reagan, Ronald",Challenger,"9,207","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,856","2,988",R,52.43,39.59,.00,7.98,56.98,43.02,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,SANTA CRUZ,County,"5,340","2,674","Reagan, Ronald",Challenger,"2,089","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,577,585,R,50.07,39.12,.00,10.81,56.14,43.86,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,YAVAPAI,County,"28,994","19,823","Reagan, Ronald",Challenger,"6,664","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,507","13,159",R,68.37,22.98,.00,8.65,74.84,25.16,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Arizona,19801104,N/A,YUMA,County,"21,145","13,393","Reagan, Ronald",Challenger,"6,014","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,738","7,379",R,63.34,28.44,.00,8.22,69.01,30.99,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Arizona,"873,945","529,688","246,843",N/A,"97,414","282,845",R,"282,845",R,60.61,28.24,.00,11.15,68.21,31.79
,
,
,
