PRESIDENT 1980
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,District of Columbia,19801104,N/A,Special Ballots,County,102,17,"Reagan, Ronald",Challenger,71,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,14,54,D,16.67,69.61,.00,13.73,19.32,80.68,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 1,Ward,"18,804","1,870","Reagan, Ronald",Challenger,"14,060","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,874","11,186",D,9.94,74.77,.00,15.28,11.74,88.26,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 2,Ward,"20,194","3,409","Reagan, Ronald",Challenger,"13,156","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"3,629","9,527",D,16.88,65.15,.00,17.97,20.58,79.42,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 3,Ward,"35,759","12,654","Reagan, Ronald",Challenger,"15,258","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"7,847","2,604",D,35.39,42.67,.00,21.94,45.34,54.66,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 4,Ward,"27,273","1,734","Reagan, Ronald",Challenger,"23,993","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,546","22,259",D,6.36,87.97,.00,5.67,6.74,93.26,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 5,Ward,"22,562","1,040","Reagan, Ronald",Challenger,"20,497","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,025","19,457",D,4.61,90.85,.00,4.54,4.83,95.17,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 6,Ward,"19,064","1,550","Reagan, Ronald",Challenger,"15,022","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,492","12,530",D,8.13,78.80,.00,13.07,9.35,90.65,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 7,Ward,"20,857",935,"Reagan, Ronald",Challenger,"19,138","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,784,"18,203",D,4.48,91.76,.00,3.76,4.66,95.34,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,District of Columbia,19801104,N/A,Ward 8,Ward,"10,622",336,"Reagan, Ronald",Challenger,"9,918","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,368,"9,550",D,3.16,93.37,.00,3.46,3.28,96.72,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,District of Columbia,"175,237","23,545","131,113",N/A,"20,579","107,568",D,"107,568",D,13.44,74.82,.00,11.74,15.22,84.78
,
,
,
