PRESIDENT 1980
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Maryland,19801104,N/A,ALLEGANY,County,"31,484","17,512","Reagan, Ronald",Challenger,"12,167","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,805","5,345",R,55.62,38.65,.00,5.73,59.00,41.00,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,ANNE ARUNDEL,County,"131,632","69,443","Reagan, Ronald",Challenger,"50,780","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"11,409","18,663",R,52.76,38.58,.00,8.67,57.76,42.24,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,BALTIMORE,County,"279,917","132,490","Reagan, Ronald",Challenger,"121,280","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"26,147","11,210",R,47.33,43.33,.00,9.34,52.21,47.79,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,BALTIMORE CITY,County,"264,775","57,902","Reagan, Ronald",Challenger,"191,911","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"14,962","134,009",D,21.87,72.48,.00,5.65,23.18,76.82,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,CALVERT,County,"10,870","5,440","Reagan, Ronald",Challenger,"4,745","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,685,695,R,50.05,43.65,.00,6.30,53.41,46.59,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,CAROLINE,County,"6,765","3,582","Reagan, Ronald",Challenger,"2,833","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,350,749,R,52.95,41.88,.00,5.17,55.84,44.16,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,CARROLL,County,"32,940","19,859","Reagan, Ronald",Challenger,"10,393","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,688","9,466",R,60.29,31.55,.00,8.16,65.65,34.35,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,CECIL,County,"18,846","9,673","Reagan, Ronald",Challenger,"7,937","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,236","1,736",R,51.33,42.12,.00,6.56,54.93,45.07,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,CHARLES,County,"22,020","11,807","Reagan, Ronald",Challenger,"8,887","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,326","2,920",R,53.62,40.36,.00,6.02,57.06,42.94,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,DORCHESTER,County,"10,550","5,160","Reagan, Ronald",Challenger,"4,908","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,482,252,R,48.91,46.52,.00,4.57,51.25,48.75,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,FREDERICK,County,"39,130","22,033","Reagan, Ronald",Challenger,"13,629","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"3,468","8,404",R,56.31,34.83,.00,8.86,61.78,38.22,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,GARRETT,County,"8,545","5,475","Reagan, Ronald",Challenger,"2,708","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,362,"2,767",R,64.07,31.69,.00,4.24,66.91,33.09,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,HARFORD,County,"50,941","26,713","Reagan, Ronald",Challenger,"20,042","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"4,186","6,671",R,52.44,39.34,.00,8.22,57.13,42.87,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,HOWARD,County,"51,599","24,272","Reagan, Ronald",Challenger,"20,702","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"6,625","3,570",R,47.04,40.12,.00,12.84,53.97,46.03,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,KENT,County,"6,304","2,889","Reagan, Ronald",Challenger,"2,986","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,429,97,D,45.83,47.37,.00,6.81,49.17,50.83,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,MONTGOMERY,County,"266,151","125,515","Reagan, Ronald",Challenger,"105,822","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"34,814","19,693",R,47.16,39.76,.00,13.08,54.26,45.74,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,PRINCE GEORGES,County,"193,987","78,977","Reagan, Ronald",Challenger,"98,757","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"16,253","19,780",D,40.71,50.91,.00,8.38,44.44,55.56,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,QUEEN ANNES,County,"9,112","4,749","Reagan, Ronald",Challenger,"3,820","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,543,929,R,52.12,41.92,.00,5.96,55.42,44.58,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,SOMERSET,County,"6,937","3,312","Reagan, Ronald",Challenger,"3,342","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,283,30,D,47.74,48.18,.00,4.08,49.77,50.23,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,ST. MARYS,County,"16,056","8,267","Reagan, Ronald",Challenger,"6,773","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,016","1,494",R,51.49,42.18,.00,6.33,54.97,45.03,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,TALBOT,County,"10,711","6,044","Reagan, Ronald",Challenger,"3,995","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,672,"2,049",R,56.43,37.30,.00,6.27,60.21,39.79,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,WASHINGTON,County,"39,083","22,901","Reagan, Ronald",Challenger,"14,118","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,064","8,783",R,58.60,36.12,.00,5.28,61.86,38.14,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,WICOMICO,County,"21,905","11,229","Reagan, Ronald",Challenger,"9,431","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,245","1,798",R,51.26,43.05,.00,5.68,54.35,45.65,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Maryland,19801104,N/A,WORCESTER,County,"10,236","5,362","Reagan, Ronald",Challenger,"4,195","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,679,"1,167",R,52.38,40.98,.00,6.63,56.11,43.89,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Maryland,"1,540,496","680,606","726,161",N/A,"133,729","45,555",D,"45,555",D,44.18,47.14,.00,8.68,48.38,51.62
,
,
,
