PRESIDENT 1980
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Nevada,19801104,N/A,CARSON CITY,County,"12,556","8,389","Reagan, Ronald",Challenger,"2,769","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,398","5,620",R,66.81,22.05,.00,11.13,75.18,24.82,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,CHURCHILL,County,"5,273","3,841","Reagan, Ronald",Challenger,"1,055","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,377,"2,786",R,72.84,20.01,.00,7.15,78.45,21.55,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,CLARK,County,"127,424","76,194","Reagan, Ronald",Challenger,"38,313","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"12,917","37,881",R,59.80,30.07,.00,10.14,66.54,33.46,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,DOUGLAS,County,"7,343","5,254","Reagan, Ronald",Challenger,"1,352","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,737,"3,902",R,71.55,18.41,.00,10.04,79.53,20.47,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,ELKO,County,"6,197","4,393","Reagan, Ronald",Challenger,"1,296","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,508,"3,097",R,70.89,20.91,.00,8.20,77.22,22.78,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,ESMERALDA,County,469,311,"Reagan, Ronald",Challenger,110,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,48,201,R,66.31,23.45,.00,10.23,73.87,26.13,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,EUREKA,County,564,430,"Reagan, Ronald",Challenger,103,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,31,327,R,76.24,18.26,.00,5.50,80.68,19.32,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,HUMBOLDT,County,"2,843","1,950","Reagan, Ronald",Challenger,684,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,209,"1,266",R,68.59,24.06,.00,7.35,74.03,25.97,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,LANDER,County,"1,425",935,"Reagan, Ronald",Challenger,361,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,129,574,R,65.61,25.33,.00,9.05,72.15,27.85,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Nevada,19801104,N/A,LINCOLN,County,"1,586","1,087","Reagan, Ronald",Challenger,396,"Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,103,691,R,68.54,24.97,.00,6.49,73.30,26.70,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
