PRESIDENT 1984
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New York,19841106,N/A,ALBANY,County,"150,592","74,542","Reagan, Ronald",Incumbent,"75,447","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,603,905,D,49.50,50.10,.00,.40,49.70,50.30,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,ALLEGANY,County,"19,304","14,527","Reagan, Ronald",Incumbent,"4,720","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,57,"9,807",R,75.25,24.45,.00,.30,75.48,24.52,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,BRONX,County,"333,683","109,308","Reagan, Ronald",Incumbent,"223,112","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,"1,263","113,804",D,32.76,66.86,.00,.38,32.88,67.12,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,BROOME,County,"96,089","58,109","Reagan, Ronald",Incumbent,"37,658","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,322,"20,451",R,60.47,39.19,.00,.34,60.68,39.32,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CATTARAUGUS,County,"34,468","24,162","Reagan, Ronald",Incumbent,"10,194","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,112,"13,968",R,70.10,29.58,.00,.32,70.33,29.67,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CAYUGA,County,"33,779","21,451","Reagan, Ronald",Incumbent,"12,207","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,121,"9,244",R,63.50,36.14,.00,.36,63.73,36.27,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CHAUTAUQUA,County,"62,724","39,597","Reagan, Ronald",Incumbent,"22,986","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,141,"16,611",R,63.13,36.65,.00,.22,63.27,36.73,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CHEMUNG,County,"39,647","24,909","Reagan, Ronald",Incumbent,"14,638","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,100,"10,271",R,62.83,36.92,.00,.25,62.99,37.01,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CHENANGO,County,"20,648","14,254","Reagan, Ronald",Incumbent,"6,343","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,51,"7,911",R,69.03,30.72,.00,.25,69.20,30.80,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CLINTON,County,"30,443","19,549","Reagan, Ronald",Incumbent,"10,804","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,90,"8,745",R,64.22,35.49,.00,.30,64.41,35.59,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,COLUMBIA,County,"27,891","18,814","Reagan, Ronald",Incumbent,"8,960","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,117,"9,854",R,67.46,32.13,.00,.42,67.74,32.26,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,CORTLAND,County,"20,224","13,691","Reagan, Ronald",Incumbent,"6,438","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,95,"7,253",R,67.70,31.83,.00,.47,68.02,31.98,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,DELAWARE,County,"19,830","14,002","Reagan, Ronald",Incumbent,"5,745","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,83,"8,257",R,70.61,28.97,.00,.42,70.91,29.09,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,DUTCHESS,County,"103,580","70,324","Reagan, Ronald",Incumbent,"32,867","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,389,"37,457",R,67.89,31.73,.00,.38,68.15,31.85,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,ERIE,County,"461,671","222,882","Reagan, Ronald",Incumbent,"237,631","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,"1,158","14,749",D,48.28,51.47,.00,.25,48.40,51.60,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,ESSEX,County,"17,320","12,114","Reagan, Ronald",Incumbent,"5,119","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,87,"6,995",R,69.94,29.56,.00,.50,70.30,29.70,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,New York,19841106,N/A,FRANKLIN,County,"17,064","10,617","Reagan, Ronald",Incumbent,"6,400","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,47,"4,217",R,62.22,37.51,.00,.28,62.39,37.61,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
