PRESIDENT 1984
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Pennsylvania,19841106,N/A,ADAMS,County,"24,174","16,786","Reagan, Ronald",Incumbent,"7,289","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,99,"9,497",R,69.44,30.15,.00,.41,69.72,30.28,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,ALLEGHENY,County,"665,748","284,692","Reagan, Ronald",Incumbent,"372,576","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,"8,480","87,884",D,42.76,55.96,.00,1.27,43.31,56.69,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,ARMSTRONG,County,"28,344","13,709","Reagan, Ronald",Incumbent,"14,525","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,110,816,D,48.37,51.25,.00,.39,48.55,51.45,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BEAVER,County,"87,117","32,052","Reagan, Ronald",Incumbent,"54,765","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,300,"22,713",D,36.79,62.86,.00,.34,36.92,63.08,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BEDFORD,County,"18,543","13,085","Reagan, Ronald",Incumbent,"5,424","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,34,"7,661",R,70.57,29.25,.00,.18,70.70,29.30,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BERKS,County,"113,145","74,605","Reagan, Ronald",Incumbent,"37,849","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,691,"36,756",R,65.94,33.45,.00,.61,66.34,33.66,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BLAIR,County,"45,945","30,104","Reagan, Ronald",Incumbent,"15,651","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,190,"14,453",R,65.52,34.06,.00,.41,65.79,34.21,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BRADFORD,County,"20,367","14,808","Reagan, Ronald",Incumbent,"5,474","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,85,"9,334",R,72.71,26.88,.00,.42,73.01,26.99,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BUCKS,County,"205,719","130,119","Reagan, Ronald",Incumbent,"74,568","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,"1,032","55,551",R,63.25,36.25,.00,.50,63.57,36.43,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Pennsylvania,19841106,N/A,BUTLER,County,"56,626","31,676","Reagan, Ronald",Incumbent,"24,735","Mondale, Walter F.",Challenger,N/A,N/A,N/A,N/A,215,"6,941",R,55.94,43.68,.00,.38,56.15,43.85,"In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Virginia, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
