PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Iowa,19881108,N/A,ADAIR,County,"4,123","1,833","Bush, George H.",Challenger,"2,261","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,29,428,D,44.46,54.84,.00,.70,44.77,55.23,,,
President,Iowa,19881108,N/A,ADAMS,County,"2,380","1,080","Bush, George H.",Challenger,"1,283","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,17,203,D,45.38,53.91,.00,.71,45.70,54.30,,,
President,Iowa,19881108,N/A,ALLAMAKEE,County,"5,995","3,186","Bush, George H.",Challenger,"2,768","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,41,418,R,53.14,46.17,.00,.68,53.51,46.49,,,
President,Iowa,19881108,N/A,APPANOOSE,County,"6,088","2,779","Bush, George H.",Challenger,"3,209","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,100,430,D,45.65,52.71,.00,1.64,46.41,53.59,,,
President,Iowa,19881108,N/A,AUDUBON,County,"3,371","1,478","Bush, George H.",Challenger,"1,863","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,30,385,D,43.84,55.27,.00,.89,44.24,55.76,,,
President,Iowa,19881108,N/A,BENTON,County,"9,977","4,011","Bush, George H.",Challenger,"5,873","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,93,"1,862",D,40.20,58.87,.00,.93,40.58,59.42,,,
President,Iowa,19881108,N/A,BLACK HAWK,County,"56,171","24,112","Bush, George H.",Challenger,"31,657","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,402,"7,545",D,42.93,56.36,.00,.72,43.24,56.76,,,
President,Iowa,19881108,N/A,BOONE,County,"11,686","4,381","Bush, George H.",Challenger,"7,232","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,73,"2,851",D,37.49,61.89,.00,.62,37.72,62.28,,,
President,Iowa,19881108,N/A,BREMER,County,"10,099","5,079","Bush, George H.",Challenger,"4,961","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,59,118,R,50.29,49.12,.00,.58,50.59,49.41,,,
President,Iowa,19881108,N/A,BUCHANAN,County,"8,321","3,495","Bush, George H.",Challenger,"4,778","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,48,"1,283",D,42.00,57.42,.00,.58,42.25,57.75,,,
President,Iowa,19881108,N/A,BUENA VISTA,County,"8,825","4,170","Bush, George H.",Challenger,"4,580","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,75,410,D,47.25,51.90,.00,.85,47.66,52.34,,,
President,Iowa,19881108,N/A,BUTLER,County,"6,146","3,523","Bush, George H.",Challenger,"2,593","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,30,930,R,57.32,42.19,.00,.49,57.60,42.40,,,
President,Iowa,19881108,N/A,CALHOUN,County,"5,505","2,474","Bush, George H.",Challenger,"2,990","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,41,516,D,44.94,54.31,.00,.74,45.28,54.72,,,
President,Iowa,19881108,N/A,CARROLL,County,"9,273","3,701","Bush, George H.",Challenger,"5,437","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,135,"1,736",D,39.91,58.63,.00,1.46,40.50,59.50,,,
President,Iowa,19881108,N/A,CASS,County,"6,968","3,962","Bush, George H.",Challenger,"2,934","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,72,"1,028",R,56.86,42.11,.00,1.03,57.45,42.55,,,
President,Iowa,19881108,N/A,CEDAR,County,"7,479","3,373","Bush, George H.",Challenger,"4,032","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,74,659,D,45.10,53.91,.00,.99,45.55,54.45,,,
President,Iowa,19881108,N/A,CERRO GORDO,County,"22,365","9,358","Bush, George H.",Challenger,"12,857","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,150,"3,499",D,41.84,57.49,.00,.67,42.12,57.88,,,
President,Iowa,19881108,N/A,CHEROKEE,County,"6,855","3,218","Bush, George H.",Challenger,"3,574","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,63,356,D,46.94,52.14,.00,.92,47.38,52.62,,,
President,Iowa,19881108,N/A,CHICKASAW,County,"6,136","2,549","Bush, George H.",Challenger,"3,530","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,57,981,D,41.54,57.53,.00,.93,41.93,58.07,,,
President,Iowa,19881108,N/A,CLARKE,County,"3,934","1,631","Bush, George H.",Challenger,"2,262","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,41,631,D,41.46,57.50,.00,1.04,41.90,58.10,,,
President,Iowa,19881108,N/A,CLAY,County,"7,870","3,641","Bush, George H.",Challenger,"4,173","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,56,532,D,46.26,53.02,.00,.71,46.60,53.40,,,
President,Iowa,19881108,N/A,CLAYTON,County,"8,242","3,839","Bush, George H.",Challenger,"4,320","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,83,481,D,46.58,52.41,.00,1.01,47.05,52.95,,,
President,Iowa,19881108,N/A,CLINTON,County,"23,002","10,243","Bush, George H.",Challenger,"12,549","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,210,"2,306",D,44.53,54.56,.00,.91,44.94,55.06,,,
President,Iowa,19881108,N/A,CRAWFORD,County,"7,311","3,375","Bush, George H.",Challenger,"3,868","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,68,493,D,46.16,52.91,.00,.93,46.60,53.40,,,
President,Iowa,19881108,N/A,DALLAS,County,"12,419","4,858","Bush, George H.",Challenger,"7,501","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,60,"2,643",D,39.12,60.40,.00,.48,39.31,60.69,,,
President,Iowa,19881108,N/A,DAVIS,County,"3,849","1,563","Bush, George H.",Challenger,"2,246","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,40,683,D,40.61,58.35,.00,1.04,41.03,58.97,,,
President,Iowa,19881108,N/A,DECATUR,County,"3,627","1,406","Bush, George H.",Challenger,"2,192","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,29,786,D,38.76,60.44,.00,.80,39.08,60.92,,,
