PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Kentucky,19881108,N/A,ADAIR,County,"6,113","4,346","Bush, George H.",Challenger,"1,723","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,44,"2,623",R,71.09,28.19,.00,.72,71.61,28.39,,,
President,Kentucky,19881108,N/A,ALLEN,County,"4,923","3,342","Bush, George H.",Challenger,"1,573","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,8,"1,769",R,67.89,31.95,.00,.16,68.00,32.00,,,
President,Kentucky,19881108,N/A,ANDERSON,County,"5,450","3,225","Bush, George H.",Challenger,"2,176","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,49,"1,049",R,59.17,39.93,.00,.90,59.71,40.29,,,
President,Kentucky,19881108,N/A,BALLARD,County,"3,629","1,460","Bush, George H.",Challenger,"2,162","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,7,702,D,40.23,59.58,.00,.19,40.31,59.69,,,
President,Kentucky,19881108,N/A,BARREN,County,"11,506","6,653","Bush, George H.",Challenger,"4,799","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,54,"1,854",R,57.82,41.71,.00,.47,58.09,41.91,,,
President,Kentucky,19881108,N/A,BATH,County,"3,724","1,614","Bush, George H.",Challenger,"2,099","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,11,485,D,43.34,56.36,.00,.30,43.47,56.53,,,
President,Kentucky,19881108,N/A,BELL,County,"11,193","5,759","Bush, George H.",Challenger,"5,182","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,252,577,R,51.45,46.30,.00,2.25,52.64,47.36,,,
President,Kentucky,19881108,N/A,BOONE,County,"18,157","12,667","Bush, George H.",Challenger,"5,382","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,108,"7,285",R,69.76,29.64,.00,.59,70.18,29.82,,,
President,Kentucky,19881108,N/A,BOURBON,County,"6,175","3,308","Bush, George H.",Challenger,"2,793","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,74,515,R,53.57,45.23,.00,1.20,54.22,45.78,,,
President,Kentucky,19881108,N/A,BOYD,County,"18,988","9,379","Bush, George H.",Challenger,"9,552","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,57,173,D,49.39,50.31,.00,.30,49.54,50.46,,,
President,Kentucky,19881108,N/A,BOYLE,County,"8,354","4,746","Bush, George H.",Challenger,"3,575","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,33,"1,171",R,56.81,42.79,.00,.40,57.04,42.96,,,
President,Kentucky,19881108,N/A,BRACKEN,County,"2,824","1,630","Bush, George H.",Challenger,"1,176","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,18,454,R,57.72,41.64,.00,.64,58.09,41.91,,,
President,Kentucky,19881108,N/A,BREATHITT,County,"5,580","2,149","Bush, George H.",Challenger,"3,387","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,44,"1,238",D,38.51,60.70,.00,.79,38.82,61.18,,,
President,Kentucky,19881108,N/A,BRECKINRIDGE,County,"6,623","3,841","Bush, George H.",Challenger,"2,765","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,17,"1,076",R,57.99,41.75,.00,.26,58.14,41.86,,,
President,Kentucky,19881108,N/A,BULLITT,County,"15,013","8,859","Bush, George H.",Challenger,"6,005","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,149,"2,854",R,59.01,40.00,.00,.99,59.60,40.40,,,
President,Kentucky,19881108,N/A,BUTLER,County,"4,539","3,278","Bush, George H.",Challenger,"1,245","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,16,"2,033",R,72.22,27.43,.00,.35,72.47,27.53,,,
President,Kentucky,19881108,N/A,CALDWELL,County,"5,577","2,952","Bush, George H.",Challenger,"2,564","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,61,388,R,52.93,45.97,.00,1.09,53.52,46.48,,,
President,Kentucky,19881108,N/A,CALLOWAY,County,"11,546","6,225","Bush, George H.",Challenger,"5,287","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,34,938,R,53.91,45.79,.00,.29,54.07,45.93,,,
President,Kentucky,19881108,N/A,CAMPBELL,County,"29,104","19,387","Bush, George H.",Challenger,"9,553","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,164,"9,834",R,66.61,32.82,.00,.56,66.99,33.01,,,
