PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New Mexico,19881108,N/A,BERNALILLO,County,"173,135","92,830","Bush, George H.",Challenger,"78,346","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,959","14,484",R,53.62,45.25,.00,1.13,54.23,45.77,,,
President,New Mexico,19881108,N/A,CATRON,County,"1,486",925,"Bush, George H.",Challenger,490,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,71,435,R,62.25,32.97,.00,4.78,65.37,34.63,,,
President,New Mexico,19881108,N/A,CHAVES,County,"20,303","13,367","Bush, George H.",Challenger,"6,730","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,206,"6,637",R,65.84,33.15,.00,1.01,66.51,33.49,,,
President,New Mexico,19881108,N/A,CIBOLA,County,"6,137","2,640","Bush, George H.",Challenger,"3,458","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,39,818,D,43.02,56.35,.00,.64,43.29,56.71,,,
President,New Mexico,19881108,N/A,COLFAX,County,"5,085","2,256","Bush, George H.",Challenger,"2,785","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,44,529,D,44.37,54.77,.00,.87,44.75,55.25,,,
President,New Mexico,19881108,N/A,CURRY,County,"12,138","8,032","Bush, George H.",Challenger,"3,995","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,111,"4,037",R,66.17,32.91,.00,.91,66.78,33.22,,,
President,New Mexico,19881108,N/A,DE BACA,County,"1,136",643,"Bush, George H.",Challenger,480,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,13,163,R,56.60,42.25,.00,1.14,57.26,42.74,,,
President,New Mexico,19881108,N/A,DONA ANA,County,"41,747","21,582","Bush, George H.",Challenger,"19,608","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,557,"1,974",R,51.70,46.97,.00,1.33,52.40,47.60,,,
President,New Mexico,19881108,N/A,EDDY,County,"18,535","9,805","Bush, George H.",Challenger,"8,544","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,186,"1,261",R,52.90,46.10,.00,1.00,53.44,46.56,,,
President,New Mexico,19881108,N/A,GRANT,County,"9,735","4,196","Bush, George H.",Challenger,"5,443","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,96,"1,247",D,43.10,55.91,.00,.99,43.53,56.47,,,
President,New Mexico,19881108,N/A,GUADALUPE,County,"2,119",861,"Bush, George H.",Challenger,"1,243","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,15,382,D,40.63,58.66,.00,.71,40.92,59.08,,,
President,New Mexico,19881108,N/A,HARDING,County,672,377,"Bush, George H.",Challenger,291,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,4,86,R,56.10,43.30,.00,.60,56.44,43.56,,,
President,New Mexico,19881108,N/A,HIDALGO,County,"2,020","1,100","Bush, George H.",Challenger,901,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,19,199,R,54.46,44.60,.00,.94,54.97,45.03,,,
President,New Mexico,19881108,N/A,LEA,County,"17,303","11,309","Bush, George H.",Challenger,"5,879","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,115,"5,430",R,65.36,33.98,.00,.66,65.80,34.20,,,
President,New Mexico,19881108,N/A,LINCOLN,County,"5,288","3,511","Bush, George H.",Challenger,"1,690","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,87,"1,821",R,66.40,31.96,.00,1.65,67.51,32.49,,,
President,New Mexico,19881108,N/A,LOS ALAMOS,County,"10,153","6,622","Bush, George H.",Challenger,"3,275","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,256,"3,347",R,65.22,32.26,.00,2.52,66.91,33.09,,,
President,New Mexico,19881108,N/A,LUNA,County,"6,636","3,415","Bush, George H.",Challenger,"3,066","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,155,349,R,51.46,46.20,.00,2.34,52.69,47.31,,,
President,New Mexico,19881108,N/A,MCKINLEY,County,"15,467","5,694","Bush, George H.",Challenger,"9,595","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,178,"3,901",D,36.81,62.04,.00,1.15,37.24,62.76,,,
President,New Mexico,19881108,N/A,MORA,County,"2,545",923,"Bush, George H.",Challenger,"1,601","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,21,678,D,36.27,62.91,.00,.83,36.57,63.43,,,
President,New Mexico,19881108,N/A,OTERO,County,"15,478","9,984","Bush, George H.",Challenger,"5,284","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,210,"4,700",R,64.50,34.14,.00,1.36,65.39,34.61,,,
President,New Mexico,19881108,N/A,QUAY,County,"4,412","2,454","Bush, George H.",Challenger,"1,901","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,57,553,R,55.62,43.09,.00,1.29,56.35,43.65,,,
President,New Mexico,19881108,N/A,RIO ARRIBA,County,"10,626","3,024","Bush, George H.",Challenger,"7,503","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,99,"4,479",D,28.46,70.61,.00,.93,28.73,71.27,,,
President,New Mexico,19881108,N/A,ROOSEVELT,County,"5,681","3,589","Bush, George H.",Challenger,"2,033","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,59,"1,556",R,63.18,35.79,.00,1.04,63.84,36.16,,,
President,New Mexico,19881108,N/A,SAN JUAN,County,"27,750","16,202","Bush, George H.",Challenger,"11,094","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,454,"5,108",R,58.39,39.98,.00,1.64,59.36,40.64,,,
President,New Mexico,19881108,N/A,SAN MIGUEL,County,"9,023","2,763","Bush, George H.",Challenger,"6,131","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,129,"3,368",D,30.62,67.95,.00,1.43,31.07,68.93,,,
President,New Mexico,19881108,N/A,SANDOVAL,County,"19,011","9,411","Bush, George H.",Challenger,"9,332","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,268,79,R,49.50,49.09,.00,1.41,50.21,49.79,,,
President,New Mexico,19881108,N/A,SANTA FE,County,"36,927","12,891","Bush, George H.",Challenger,"23,581","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,455,"10,690",D,34.91,63.86,.00,1.23,35.34,64.66,,,
President,New Mexico,19881108,N/A,SIERRA,County,"4,165","2,507","Bush, George H.",Challenger,"1,595","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,63,912,R,60.19,38.30,.00,1.51,61.12,38.88,,,
