PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Virginia,19881108,N/A,ACCOMACK,County,"11,542","6,926","Bush, George H.",Challenger,"4,443","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,173,"2,483",R,60.01,38.49,.00,1.50,60.92,39.08,,,
President,Virginia,19881108,N/A,ALBEMARLE,County,"25,753","15,117","Bush, George H.",Challenger,"10,363","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,273,"4,754",R,58.70,40.24,.00,1.06,59.33,40.67,,,
President,Virginia,19881108,N/A,ALLEGHANY,County,"4,926","2,555","Bush, George H.",Challenger,"2,316","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,55,239,R,51.87,47.02,.00,1.12,52.45,47.55,,,
President,Virginia,19881108,N/A,AMELIA,County,"3,594","2,187","Bush, George H.",Challenger,"1,359","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,48,828,R,60.85,37.81,.00,1.34,61.68,38.32,,,
President,Virginia,19881108,N/A,AMHERST,County,"10,151","6,507","Bush, George H.",Challenger,"3,567","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,77,"2,940",R,64.10,35.14,.00,.76,64.59,35.41,,,
President,Virginia,19881108,N/A,APPOMATTOX,County,"5,040","3,205","Bush, George H.",Challenger,"1,740","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,95,"1,465",R,63.59,34.52,.00,1.88,64.81,35.19,,,
President,Virginia,19881108,N/A,ARLINGTON,County,"75,365","34,191","Bush, George H.",Challenger,"40,314","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,860,"6,123",D,45.37,53.49,.00,1.14,45.89,54.11,,,
President,Virginia,19881108,N/A,AUGUSTA,County,"17,634","13,251","Bush, George H.",Challenger,"4,170","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,213,"9,081",R,75.14,23.65,.00,1.21,76.06,23.94,,,
President,Virginia,19881108,N/A,BATH,County,"2,167","1,273","Bush, George H.",Challenger,881,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,13,392,R,58.74,40.66,.00,.60,59.10,40.90,,,
President,Virginia,19881108,N/A,BEDFORD,County,"16,382","10,702","Bush, George H.",Challenger,"5,406","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,274,"5,296",R,65.33,33.00,.00,1.67,66.44,33.56,,,
President,Virginia,19881108,N/A,BLAND,County,"2,546","1,556","Bush, George H.",Challenger,937,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,53,619,R,61.12,36.80,.00,2.08,62.41,37.59,,,
