PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,West Virginia,19881108,N/A,BARBOUR,County,"6,261","3,023","Bush, George H.",Challenger,"3,221","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,17,198,D,48.28,51.45,.00,.27,48.41,51.59,,,
President,West Virginia,19881108,N/A,BERKELEY,County,"17,135","10,761","Bush, George H.",Challenger,"6,313","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,61,"4,448",R,62.80,36.84,.00,.36,63.03,36.97,,,
President,West Virginia,19881108,N/A,BOONE,County,"9,345","2,786","Bush, George H.",Challenger,"6,539","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,20,"3,753",D,29.81,69.97,.00,.21,29.88,70.12,,,
President,West Virginia,19881108,N/A,BRAXTON,County,"5,423","2,024","Bush, George H.",Challenger,"3,377","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,22,"1,353",D,37.32,62.27,.00,.41,37.47,62.53,,,
President,West Virginia,19881108,N/A,BROOKE,County,"10,306","4,006","Bush, George H.",Challenger,"6,258","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,42,"2,252",D,38.87,60.72,.00,.41,39.03,60.97,,,
President,West Virginia,19881108,N/A,CABELL,County,"32,662","17,197","Bush, George H.",Challenger,"15,368","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,97,"1,829",R,52.65,47.05,.00,.30,52.81,47.19,,,
President,West Virginia,19881108,N/A,CALHOUN,County,"3,057","1,395","Bush, George H.",Challenger,"1,644","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,18,249,D,45.63,53.78,.00,.59,45.90,54.10,,,
President,West Virginia,19881108,N/A,CLAY,County,"3,811","1,536","Bush, George H.",Challenger,"2,263","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,12,727,D,40.30,59.38,.00,.31,40.43,59.57,,,
President,West Virginia,19881108,N/A,DODDRIDGE,County,"2,847","1,880","Bush, George H.",Challenger,955,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,12,925,R,66.03,33.54,.00,.42,66.31,33.69,,,
President,West Virginia,19881108,N/A,FAYETTE,County,"16,205","5,143","Bush, George H.",Challenger,"11,009","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,53,"5,866",D,31.74,67.94,.00,.33,31.84,68.16,,,
President,West Virginia,19881108,N/A,GILMER,County,"3,064","1,387","Bush, George H.",Challenger,"1,661","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,16,274,D,45.27,54.21,.00,.52,45.51,54.49,,,
President,West Virginia,19881108,N/A,GRANT,County,"4,130","3,215","Bush, George H.",Challenger,893,"Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,22,"2,322",R,77.85,21.62,.00,.53,78.26,21.74,,,
President,West Virginia,19881108,N/A,GREENBRIER,County,"11,521","5,395","Bush, George H.",Challenger,"6,091","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,35,696,D,46.83,52.87,.00,.30,46.97,53.03,,,
President,West Virginia,19881108,N/A,HAMPSHIRE,County,"5,363","3,253","Bush, George H.",Challenger,"2,085","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,25,"1,168",R,60.66,38.88,.00,.47,60.94,39.06,,,
President,West Virginia,19881108,N/A,HANCOCK,County,"14,280","5,882","Bush, George H.",Challenger,"8,338","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,60,"2,456",D,41.19,58.39,.00,.42,41.36,58.64,,,
President,West Virginia,19881108,N/A,HARDY,County,"4,288","2,581","Bush, George H.",Challenger,"1,689","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,18,892,R,60.19,39.39,.00,.42,60.44,39.56,,,
President,West Virginia,19881108,N/A,HARRISON,County,"30,418","13,364","Bush, George H.",Challenger,"17,005","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,49,"3,641",D,43.93,55.90,.00,.16,44.01,55.99,,,
President,West Virginia,19881108,N/A,JACKSON,County,"10,291","5,696","Bush, George H.",Challenger,"4,573","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,22,"1,123",R,55.35,44.44,.00,.21,55.47,44.53,,,
President,West Virginia,19881108,N/A,JEFFERSON,County,"9,726","5,349","Bush, George H.",Challenger,"4,334","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,43,"1,015",R,55.00,44.56,.00,.44,55.24,44.76,,,
President,West Virginia,19881108,N/A,KANAWHA,County,"79,542","38,140","Bush, George H.",Challenger,"41,144","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,258,"3,004",D,47.95,51.73,.00,.32,48.11,51.89,,,
President,West Virginia,19881108,N/A,LEWIS,County,"6,908","3,602","Bush, George H.",Challenger,"3,272","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,34,330,R,52.14,47.37,.00,.49,52.40,47.60,,,
President,West Virginia,19881108,N/A,LINCOLN,County,"8,529","3,457","Bush, George H.",Challenger,"5,049","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,23,"1,592",D,40.53,59.20,.00,.27,40.64,59.36,,,
President,West Virginia,19881108,N/A,LOGAN,County,"15,608","4,244","Bush, George H.",Challenger,"11,317","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,47,"7,073",D,27.19,72.51,.00,.30,27.27,72.73,,,
President,West Virginia,19881108,N/A,MARION,County,"23,742","9,229","Bush, George H.",Challenger,"14,441","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,72,"5,212",D,38.87,60.82,.00,.30,38.99,61.01,,,
President,West Virginia,19881108,N/A,MARSHALL,County,"14,779","6,793","Bush, George H.",Challenger,"7,903","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,83,"1,110",D,45.96,53.47,.00,.56,46.22,53.78,,,
President,West Virginia,19881108,N/A,MASON,County,"10,825","5,332","Bush, George H.",Challenger,"5,468","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,25,136,D,49.26,50.51,.00,.23,49.37,50.63,,,
President,West Virginia,19881108,N/A,MCDOWELL,County,"9,714","2,463","Bush, George H.",Challenger,"7,204","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,47,"4,741",D,25.36,74.16,.00,.48,25.48,74.52,,,
President,West Virginia,19881108,N/A,MERCER,County,"20,430","10,221","Bush, George H.",Challenger,"10,152","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,57,69,R,50.03,49.69,.00,.28,50.17,49.83,,,
President,West Virginia,19881108,N/A,MINERAL,County,"10,111","6,015","Bush, George H.",Challenger,"4,059","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,37,"1,956",R,59.49,40.14,.00,.37,59.71,40.29,,,
President,West Virginia,19881108,N/A,MINGO,County,"10,350","2,896","Bush, George H.",Challenger,"7,429","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,25,"4,533",D,27.98,71.78,.00,.24,28.05,71.95,,,
President,West Virginia,19881108,N/A,MONONGALIA,County,"26,338","12,091","Bush, George H.",Challenger,"14,178","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,69,"2,087",D,45.91,53.83,.00,.26,46.03,53.97,,,
President,West Virginia,19881108,N/A,MONROE,County,"5,168","2,719","Bush, George H.",Challenger,"2,427","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,22,292,R,52.61,46.96,.00,.43,52.84,47.16,,,
