PRESIDENT 1992
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Florida,19921103,N/A,ALACHUA,County,"76,372","22,813","Bush, George H.",Incumbent,"37,888","Clinton, Bill",Challenger,Reform,"15,296","Perot, Ross",Challenger,375,"15,075",D,29.87,49.61,20.03,.49,37.58,62.42,,,
President,Florida,19921103,N/A,BAKER,County,"6,756","3,418","Bush, George H.",Incumbent,"1,976","Clinton, Bill",Challenger,Reform,"1,315","Perot, Ross",Challenger,47,"1,442",R,50.59,29.25,19.46,.70,63.37,36.63,,,
President,Florida,19921103,N/A,BAY,County,"45,689","22,842","Bush, George H.",Incumbent,"12,846","Clinton, Bill",Challenger,Reform,"9,712","Perot, Ross",Challenger,289,"9,996",R,49.99,28.12,21.26,.63,64.00,36.00,,,
President,Florida,19921103,N/A,BRADFORD,County,"8,341","3,672","Bush, George H.",Incumbent,"3,041","Clinton, Bill",Challenger,Reform,"1,574","Perot, Ross",Challenger,54,631,R,44.02,36.46,18.87,.65,54.70,45.30,,,
President,Florida,19921103,N/A,BREVARD,County,"195,860","84,585","Bush, George H.",Incumbent,"61,091","Clinton, Bill",Challenger,Reform,"49,509","Perot, Ross",Challenger,675,"23,494",R,43.19,31.19,25.28,.34,58.06,41.94,,,
President,Florida,19921103,N/A,BROWARD,County,"533,050","164,832","Bush, George H.",Incumbent,"276,361","Clinton, Bill",Challenger,Reform,"90,937","Perot, Ross",Challenger,920,"111,529",D,30.92,51.85,17.06,.17,37.36,62.64,,,
President,Florida,19921103,N/A,CALHOUN,County,"4,579","1,721","Bush, George H.",Incumbent,"1,665","Clinton, Bill",Challenger,Reform,"1,176","Perot, Ross",Challenger,17,56,R,37.58,36.36,25.68,.37,50.83,49.17,,,
President,Florida,19921103,N/A,CHARLOTTE,County,"62,064","24,311","Bush, George H.",Incumbent,"22,907","Clinton, Bill",Challenger,Reform,"14,720","Perot, Ross",Challenger,126,"1,404",R,39.17,36.91,23.72,.20,51.49,48.51,,,
President,Florida,19921103,N/A,CITRUS,County,"44,746","16,412","Bush, George H.",Incumbent,"15,937","Clinton, Bill",Challenger,Reform,"12,314","Perot, Ross",Challenger,83,475,R,36.68,35.62,27.52,.19,50.73,49.27,,,
President,Florida,19921103,N/A,CLAY,County,"45,485","26,360","Bush, George H.",Incumbent,"10,610","Clinton, Bill",Challenger,Reform,"8,423","Perot, Ross",Challenger,92,"15,750",R,57.95,23.33,18.52,.20,71.30,28.70,,,
President,Florida,19921103,N/A,COLLIER,County,"71,944","38,448","Bush, George H.",Incumbent,"18,796","Clinton, Bill",Challenger,Reform,"14,518","Perot, Ross",Challenger,182,"19,652",R,53.44,26.13,20.18,.25,67.17,32.83,,,
President,Florida,19921103,N/A,COLUMBIA,County,"14,954","6,492","Bush, George H.",Incumbent,"5,528","Clinton, Bill",Challenger,Reform,"2,906","Perot, Ross",Challenger,28,964,R,43.41,36.97,19.43,.19,54.01,45.99,,,
President,Florida,19921103,N/A,DESOTO,County,"7,429","3,070","Bush, George H.",Incumbent,"2,646","Clinton, Bill",Challenger,Reform,"1,687","Perot, Ross",Challenger,26,424,R,41.32,35.62,22.71,.35,53.71,46.29,,,
President,Florida,19921103,N/A,DIXIE,County,"4,373","1,401","Bush, George H.",Incumbent,"1,855","Clinton, Bill",Challenger,Reform,"1,094","Perot, Ross",Challenger,23,454,D,32.04,42.42,25.02,.53,43.03,56.97,,,
President,Florida,19921103,N/A,DUVAL,County,"249,926","123,631","Bush, George H.",Incumbent,"92,098","Clinton, Bill",Challenger,Reform,"33,388","Perot, Ross",Challenger,809,"31,533",R,49.47,36.85,13.36,.32,57.31,42.69,,,
President,Florida,19921103,N/A,ESCAMBIA,County,"105,221","52,868","Bush, George H.",Incumbent,"32,045","Clinton, Bill",Challenger,Reform,"19,923","Perot, Ross",Challenger,385,"20,823",R,50.24,30.45,18.93,.37,62.26,37.74,,,
