PRESIDENT 1992
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Kansas,19921103,N/A,ALLEN,County,"6,430","2,351","Bush, George H.",Incumbent,"2,312","Clinton, Bill",Challenger,Reform,"1,746","Perot, Ross",Challenger,21,39,R,36.56,35.96,27.15,.33,50.42,49.58,,,
President,Kansas,19921103,N/A,ANDERSON,County,"3,687","1,218","Bush, George H.",Incumbent,"1,178","Clinton, Bill",Challenger,Reform,"1,282","Perot, Ross",Challenger,9,64,RF,33.03,31.95,34.77,.24,50.83,49.17,,,
President,Kansas,19921103,N/A,ATCHISON,County,"7,533","2,521","Bush, George H.",Incumbent,"2,959","Clinton, Bill",Challenger,Reform,"2,020","Perot, Ross",Challenger,33,438,D,33.47,39.28,26.82,.44,46.00,54.00,,,
President,Kansas,19921103,N/A,BARBER,County,"2,881","1,225","Bush, George H.",Incumbent,759,"Clinton, Bill",Challenger,Reform,893,"Perot, Ross",Challenger,4,332,R,42.52,26.35,31.00,.14,61.74,38.26,,,
President,Kansas,19921103,N/A,BARTON,County,"13,582","5,113","Bush, George H.",Incumbent,"3,846","Clinton, Bill",Challenger,Reform,"4,574","Perot, Ross",Challenger,49,539,R,37.65,28.32,33.68,.36,57.07,42.93,,,
President,Kansas,19921103,N/A,BOURBON,County,"7,162","2,876","Bush, George H.",Incumbent,"2,509","Clinton, Bill",Challenger,Reform,"1,763","Perot, Ross",Challenger,14,367,R,40.16,35.03,24.62,.20,53.41,46.59,,,
President,Kansas,19921103,N/A,BROWN,County,"5,294","2,203","Bush, George H.",Incumbent,"1,476","Clinton, Bill",Challenger,Reform,"1,603","Perot, Ross",Challenger,12,600,R,41.61,27.88,30.28,.23,59.88,40.12,,,
President,Kansas,19921103,N/A,BUTLER,County,"23,629","9,166","Bush, George H.",Incumbent,"7,029","Clinton, Bill",Challenger,Reform,"7,355","Perot, Ross",Challenger,79,"1,811",R,38.79,29.75,31.13,.33,56.60,43.40,,,
President,Kansas,19921103,N/A,CHASE,County,"1,685",610,"Bush, George H.",Incumbent,470,"Clinton, Bill",Challenger,Reform,600,"Perot, Ross",Challenger,5,10,R,36.20,27.89,35.61,.30,56.48,43.52,,,
President,Kansas,19921103,N/A,CHAUTAUQUA,County,"2,073",853,"Bush, George H.",Incumbent,598,"Clinton, Bill",Challenger,Reform,607,"Perot, Ross",Challenger,15,246,R,41.15,28.85,29.28,.72,58.79,41.21,,,
President,Kansas,19921103,N/A,CHEROKEE,County,"9,757","3,589","Bush, George H.",Incumbent,"4,083","Clinton, Bill",Challenger,Reform,"2,067","Perot, Ross",Challenger,18,494,D,36.78,41.85,21.18,.18,46.78,53.22,,,
President,Kansas,19921103,N/A,CHEYENNE,County,"1,755",863,"Bush, George H.",Incumbent,407,"Clinton, Bill",Challenger,Reform,477,"Perot, Ross",Challenger,8,386,R,49.17,23.19,27.18,.46,67.95,32.05,,,
President,Kansas,19921103,N/A,CLARK,County,"1,315",676,"Bush, George H.",Incumbent,293,"Clinton, Bill",Challenger,Reform,341,"Perot, Ross",Challenger,5,335,R,51.41,22.28,25.93,.38,69.76,30.24,,,
President,Kansas,19921103,N/A,CLAY,County,"4,590","2,198","Bush, George H.",Incumbent,947,"Clinton, Bill",Challenger,Reform,"1,434","Perot, Ross",Challenger,11,764,R,47.89,20.63,31.24,.24,69.89,30.11,,,
President,Kansas,19921103,N/A,CLOUD,County,"5,448","2,131","Bush, George H.",Incumbent,"1,720","Clinton, Bill",Challenger,Reform,"1,578","Perot, Ross",Challenger,19,411,R,39.12,31.57,28.96,.35,55.34,44.66,,,
President,Kansas,19921103,N/A,COFFEY,County,"4,300","1,824","Bush, George H.",Incumbent,"1,021","Clinton, Bill",Challenger,Reform,"1,443","Perot, Ross",Challenger,12,381,R,42.42,23.74,33.56,.28,64.11,35.89,,,
President,Kansas,19921103,N/A,COMANCHE,County,"1,285",636,"Bush, George H.",Incumbent,325,"Clinton, Bill",Challenger,Reform,324,"Perot, Ross",Challenger,N/A,311,R,49.49,25.29,25.21,.00,66.18,33.82,,,
