PRESIDENT 1992
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Minnesota,19921103,N/A,AITKIN,County,"7,559","2,151","Bush, George H.",Incumbent,"3,400","Clinton, Bill",Challenger,Reform,"1,951","Perot, Ross",Challenger,57,"1,249",D,28.46,44.98,25.81,.75,38.75,61.25,,,
President,Minnesota,19921103,N/A,ANOKA,County,"130,020","39,458","Bush, George H.",Incumbent,"54,621","Clinton, Bill",Challenger,Reform,"35,140","Perot, Ross",Challenger,801,"15,163",D,30.35,42.01,27.03,.62,41.94,58.06,,,
President,Minnesota,19921103,N/A,BECKER,County,"13,702","5,430","Bush, George H.",Incumbent,"4,958","Clinton, Bill",Challenger,Reform,"3,238","Perot, Ross",Challenger,76,472,R,39.63,36.18,23.63,.55,52.27,47.73,,,
President,Minnesota,19921103,N/A,BELTRAMI,County,"15,987","5,204","Bush, George H.",Incumbent,"7,210","Clinton, Bill",Challenger,Reform,"3,473","Perot, Ross",Challenger,100,"2,006",D,32.55,45.10,21.72,.63,41.92,58.08,,,
President,Minnesota,19921103,N/A,BENTON,County,"14,371","5,053","Bush, George H.",Incumbent,"5,156","Clinton, Bill",Challenger,Reform,"4,048","Perot, Ross",Challenger,114,103,D,35.16,35.88,28.17,.79,49.50,50.50,,,
President,Minnesota,19921103,N/A,BIG STONE,County,"3,420","1,052","Bush, George H.",Incumbent,"1,610","Clinton, Bill",Challenger,Reform,740,"Perot, Ross",Challenger,18,558,D,30.76,47.08,21.64,.53,39.52,60.48,,,
President,Minnesota,19921103,N/A,BLUE EARTH,County,"27,847","8,813","Bush, George H.",Incumbent,"11,531","Clinton, Bill",Challenger,Reform,"7,299","Perot, Ross",Challenger,204,"2,718",D,31.65,41.41,26.21,.73,43.32,56.68,,,
President,Minnesota,19921103,N/A,BROWN,County,"13,621","5,390","Bush, George H.",Incumbent,"4,278","Clinton, Bill",Challenger,Reform,"3,845","Perot, Ross",Challenger,108,"1,112",R,39.57,31.41,28.23,.79,55.75,44.25,,,
President,Minnesota,19921103,N/A,CARLTON,County,"14,747","3,922","Bush, George H.",Incumbent,"7,736","Clinton, Bill",Challenger,Reform,"3,005","Perot, Ross",Challenger,84,"3,814",D,26.60,52.46,20.38,.57,33.64,66.36,,,
President,Minnesota,19921103,N/A,CARVER,County,"26,604","10,201","Bush, George H.",Incumbent,"8,349","Clinton, Bill",Challenger,Reform,"7,942","Perot, Ross",Challenger,112,"1,852",R,38.34,31.38,29.85,.42,54.99,45.01,,,
President,Minnesota,19921103,N/A,CASS,County,"12,197","4,276","Bush, George H.",Incumbent,"4,901","Clinton, Bill",Challenger,Reform,"2,939","Perot, Ross",Challenger,81,625,D,35.06,40.18,24.10,.66,46.59,53.41,,,
President,Minnesota,19921103,N/A,CHIPPEWA,County,"6,617","2,143","Bush, George H.",Incumbent,"2,929","Clinton, Bill",Challenger,Reform,"1,505","Perot, Ross",Challenger,40,786,D,32.39,44.26,22.74,.60,42.25,57.75,,,
President,Minnesota,19921103,N/A,CHISAGO,County,"17,119","4,813","Bush, George H.",Incumbent,"7,077","Clinton, Bill",Challenger,Reform,"5,098","Perot, Ross",Challenger,131,"1,979",D,28.11,41.34,29.78,.77,40.48,59.52,,,
President,Minnesota,19921103,N/A,CLAY,County,"23,478","9,666","Bush, George H.",Incumbent,"9,845","Clinton, Bill",Challenger,Reform,"3,835","Perot, Ross",Challenger,132,179,D,41.17,41.93,16.33,.56,49.54,50.46,,,
President,Minnesota,19921103,N/A,CLEARWATER,County,"3,758","1,315","Bush, George H.",Incumbent,"1,587","Clinton, Bill",Challenger,Reform,841,"Perot, Ross",Challenger,15,272,D,34.99,42.23,22.38,.40,45.31,54.69,,,
President,Minnesota,19921103,N/A,COOK,County,"2,618",878,"Bush, George H.",Incumbent,"1,005","Clinton, Bill",Challenger,Reform,704,"Perot, Ross",Challenger,31,127,D,33.54,38.39,26.89,1.18,46.63,53.37,,,
President,Minnesota,19921103,N/A,COTTONWOOD,County,"6,651","2,481","Bush, George H.",Incumbent,"2,382","Clinton, Bill",Challenger,Reform,"1,749","Perot, Ross",Challenger,39,99,R,37.30,35.81,26.30,.59,51.02,48.98,,,
