PRESIDENT 1996
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,California,19961105,N/A,ALAMEDA,County,"462,044","106,581","Dole, Robert",Challenger,"303,903","Clinton, Bill",Incumbent,Reform,"24,270","Perot, Ross",Challenger,"27,290","197,322",D,23.07,65.77,5.25,5.91,25.96,74.04,,,
President,California,19961105,N/A,ALPINE,County,614,264,"Dole, Robert",Challenger,258,"Clinton, Bill",Incumbent,Reform,63,"Perot, Ross",Challenger,29,6,R,43.00,42.02,10.26,4.72,50.57,49.43,,,
President,California,19961105,N/A,AMADOR,County,"14,452","6,870","Dole, Robert",Challenger,"5,868","Clinton, Bill",Incumbent,Reform,"1,267","Perot, Ross",Challenger,447,"1,002",R,47.54,40.60,8.77,3.09,53.93,46.07,,,
President,California,19961105,N/A,BUTTE,County,"79,550","38,961","Dole, Robert",Challenger,"30,651","Clinton, Bill",Incumbent,Reform,"6,393","Perot, Ross",Challenger,"3,545","8,310",R,48.98,38.53,8.04,4.46,55.97,44.03,,,
President,California,19961105,N/A,CALAVERAS,County,"17,206","8,279","Dole, Robert",Challenger,"6,646","Clinton, Bill",Incumbent,Reform,"1,612","Perot, Ross",Challenger,669,"1,633",R,48.12,38.63,9.37,3.89,55.47,44.53,,,
President,California,19961105,N/A,COLUSA,County,"5,612","3,047","Dole, Robert",Challenger,"2,054","Clinton, Bill",Incumbent,Reform,404,"Perot, Ross",Challenger,107,993,R,54.29,36.60,7.20,1.91,59.73,40.27,,,
President,California,19961105,N/A,CONTRA COSTA,County,"352,602","123,954","Dole, Robert",Challenger,"196,512","Clinton, Bill",Incumbent,Reform,"20,416","Perot, Ross",Challenger,"11,720","72,558",D,35.15,55.73,5.79,3.32,38.68,61.32,,,
President,California,19961105,N/A,DEL NORTE,County,"8,889","3,670","Dole, Robert",Challenger,"3,652","Clinton, Bill",Incumbent,Reform,"1,225","Perot, Ross",Challenger,342,18,R,41.29,41.08,13.78,3.85,50.12,49.88,,,
President,California,19961105,N/A,EL DORADO,County,"63,196","32,759","Dole, Robert",Challenger,"22,957","Clinton, Bill",Incumbent,Reform,"5,077","Perot, Ross",Challenger,"2,403","9,802",R,51.84,36.33,8.03,3.80,58.80,41.20,,,
President,California,19961105,N/A,FRESNO,County,"208,393","98,813","Dole, Robert",Challenger,"94,448","Clinton, Bill",Incumbent,Reform,"10,962","Perot, Ross",Challenger,"4,170","4,365",R,47.42,45.32,5.26,2.00,51.13,48.87,,,
President,California,19961105,N/A,GLENN,County,"8,866","5,041","Dole, Robert",Challenger,"2,841","Clinton, Bill",Incumbent,Reform,788,"Perot, Ross",Challenger,196,"2,200",R,56.86,32.04,8.89,2.21,63.96,36.04,,,
President,California,19961105,N/A,HUMBOLDT,County,"55,757","19,803","Dole, Robert",Challenger,"24,628","Clinton, Bill",Incumbent,Reform,"5,811","Perot, Ross",Challenger,"5,515","4,825",D,35.52,44.17,10.42,9.89,44.57,55.43,,,
President,California,19961105,N/A,IMPERIAL,County,"26,400","9,705","Dole, Robert",Challenger,"14,591","Clinton, Bill",Incumbent,Reform,"1,778","Perot, Ross",Challenger,326,"4,886",D,36.76,55.27,6.73,1.23,39.94,60.06,,,
President,California,19961105,N/A,INYO,County,"7,569","3,924","Dole, Robert",Challenger,"2,601","Clinton, Bill",Incumbent,Reform,811,"Perot, Ross",Challenger,233,"1,323",R,51.84,34.36,10.71,3.08,60.14,39.86,,,
President,California,19961105,N/A,KERN,County,"171,391","92,151","Dole, Robert",Challenger,"62,658","Clinton, Bill",Incumbent,Reform,"13,452","Perot, Ross",Challenger,"3,130","29,493",R,53.77,36.56,7.85,1.83,59.53,40.47,,,
President,California,19961105,N/A,KINGS,County,"25,815","12,368","Dole, Robert",Challenger,"11,254","Clinton, Bill",Incumbent,Reform,"1,745","Perot, Ross",Challenger,448,"1,114",R,47.91,43.59,6.76,1.74,52.36,47.64,,,
President,California,19961105,N/A,LAKE,County,"21,335","7,458","Dole, Robert",Challenger,"10,432","Clinton, Bill",Incumbent,Reform,"2,539","Perot, Ross",Challenger,906,"2,974",D,34.96,48.90,11.90,4.25,41.69,58.31,,,
President,California,19961105,N/A,LASSEN,County,"9,875","5,194","Dole, Robert",Challenger,"3,318","Clinton, Bill",Incumbent,Reform,"1,080","Perot, Ross",Challenger,283,"1,876",R,52.60,33.60,10.94,2.87,61.02,38.98,,,
President,California,19961105,N/A,LOS ANGELES,County,"2,411,014","746,544","Dole, Robert",Challenger,"1,430,629","Clinton, Bill",Incumbent,Reform,"157,752","Perot, Ross",Challenger,"76,089","684,085",D,30.96,59.34,6.54,3.16,34.29,65.71,,,
President,California,19961105,N/A,MADERA,County,"30,662","16,510","Dole, Robert",Challenger,"11,254","Clinton, Bill",Incumbent,Reform,"2,192","Perot, Ross",Challenger,706,"5,256",R,53.85,36.70,7.15,2.30,59.47,40.53,,,
President,California,19961105,N/A,MARIN,County,"116,140","32,714","Dole, Robert",Challenger,"67,406","Clinton, Bill",Incumbent,Reform,"6,559","Perot, Ross",Challenger,"9,461","34,692",D,28.17,58.04,5.65,8.15,32.67,67.33,,,
President,California,19961105,N/A,MARIPOSA,County,"7,949","3,976","Dole, Robert",Challenger,"2,920","Clinton, Bill",Incumbent,Reform,729,"Perot, Ross",Challenger,324,"1,056",R,50.02,36.73,9.17,4.08,57.66,42.34,,,
President,California,19961105,N/A,MENDOCINO,County,"32,692","9,765","Dole, Robert",Challenger,"14,952","Clinton, Bill",Incumbent,Reform,"3,685","Perot, Ross",Challenger,"4,290","5,187",D,29.87,45.74,11.27,13.12,39.51,60.49,,,
President,California,19961105,N/A,MERCED,County,"46,938","20,847","Dole, Robert",Challenger,"21,786","Clinton, Bill",Incumbent,Reform,"3,427","Perot, Ross",Challenger,878,939,D,44.41,46.41,7.30,1.87,48.90,51.10,,,
President,California,19961105,N/A,MODOC,County,"4,303","2,285","Dole, Robert",Challenger,"1,368","Clinton, Bill",Incumbent,Reform,528,"Perot, Ross",Challenger,122,917,R,53.10,31.79,12.27,2.84,62.55,37.45,,,
President,California,19961105,N/A,MONO,County,"4,091","1,882","Dole, Robert",Challenger,"1,580","Clinton, Bill",Incumbent,Reform,447,"Perot, Ross",Challenger,182,302,R,46.00,38.62,10.93,4.45,54.36,45.64,,,
President,California,19961105,N/A,MONTEREY,County,"108,558","39,794","Dole, Robert",Challenger,"57,700","Clinton, Bill",Incumbent,Reform,"7,240","Perot, Ross",Challenger,"3,824","17,906",D,36.66,53.15,6.67,3.52,40.82,59.18,,,
President,California,19961105,N/A,NAPA,County,"48,319","17,439","Dole, Robert",Challenger,"24,588","Clinton, Bill",Incumbent,Reform,"4,254","Perot, Ross",Challenger,"2,038","7,149",D,36.09,50.89,8.80,4.22,41.49,58.51,,,
President,California,19961105,N/A,NEVADA,County,"43,219","21,784","Dole, Robert",Challenger,"15,369","Clinton, Bill",Incumbent,Reform,"3,330","Perot, Ross",Challenger,"2,736","6,415",R,50.40,35.56,7.70,6.33,58.63,41.37,,,
President,California,19961105,N/A,ORANGE,County,"864,576","446,717","Dole, Robert",Challenger,"327,485","Clinton, Bill",Incumbent,Reform,"66,195","Perot, Ross",Challenger,"24,179","119,232",R,51.67,37.88,7.66,2.80,57.70,42.30,,,
President,California,19961105,N/A,PLACER,County,"94,427","49,808","Dole, Robert",Challenger,"34,981","Clinton, Bill",Incumbent,Reform,"6,542","Perot, Ross",Challenger,"3,096","14,827",R,52.75,37.05,6.93,3.28,58.74,41.26,,,
President,California,19961105,N/A,PLUMAS,County,"9,750","4,905","Dole, Robert",Challenger,"3,540","Clinton, Bill",Incumbent,Reform,919,"Perot, Ross",Challenger,386,"1,365",R,50.31,36.31,9.43,3.96,58.08,41.92,,,
President,California,19961105,N/A,RIVERSIDE,County,"391,613","178,611","Dole, Robert",Challenger,"168,579","Clinton, Bill",Incumbent,Reform,"35,481","Perot, Ross",Challenger,"8,942","10,032",R,45.61,43.05,9.06,2.28,51.44,48.56,,,
President,California,19961105,N/A,SACRAMENTO,County,"407,414","166,049","Dole, Robert",Challenger,"203,019","Clinton, Bill",Incumbent,Reform,"23,856","Perot, Ross",Challenger,"14,490","36,970",D,40.76,49.83,5.86,3.56,44.99,55.01,,,
President,California,19961105,N/A,SAN BENITO,County,"13,906","5,384","Dole, Robert",Challenger,"7,030","Clinton, Bill",Incumbent,Reform,"1,044","Perot, Ross",Challenger,448,"1,646",D,38.72,50.55,7.51,3.22,43.37,56.63,,,
President,California,19961105,N/A,SAN BERNARDINO,County,"413,355","180,135","Dole, Robert",Challenger,"183,372","Clinton, Bill",Incumbent,Reform,"39,330","Perot, Ross",Challenger,"10,518","3,237",D,43.58,44.36,9.51,2.54,49.55,50.45,,,
President,California,19961105,N/A,SAN DIEGO,County,"884,151","402,876","Dole, Robert",Challenger,"389,964","Clinton, Bill",Incumbent,Reform,"63,037","Perot, Ross",Challenger,"28,274","12,912",R,45.57,44.11,7.13,3.20,50.81,49.19,,,
President,California,19961105,N/A,SAN FRANCISCO,County,"290,385","45,479","Dole, Robert",Challenger,"209,777","Clinton, Bill",Incumbent,Reform,"9,659","Perot, Ross",Challenger,"25,470","164,298",D,15.66,72.24,3.33,8.77,17.82,82.18,,,
President,California,19961105,N/A,SAN JOAQUIN,County,"145,140","65,131","Dole, Robert",Challenger,"67,253","Clinton, Bill",Incumbent,Reform,"9,692","Perot, Ross",Challenger,"3,064","2,122",D,44.87,46.34,6.68,2.11,49.20,50.80,,,
President,California,19961105,N/A,SAN LUIS OBISPO,County,"100,500","46,733","Dole, Robert",Challenger,"40,395","Clinton, Bill",Incumbent,Reform,"8,204","Perot, Ross",Challenger,"5,168","6,338",R,46.50,40.19,8.16,5.14,53.64,46.36,,,
President,California,19961105,N/A,SAN MATEO,County,"251,532","73,508","Dole, Robert",Challenger,"152,304","Clinton, Bill",Incumbent,Reform,"15,047","Perot, Ross",Challenger,"10,673","78,796",D,29.22,60.55,5.98,4.24,32.55,67.45,,,
President,California,19961105,N/A,SANTA BARBARA,County,"150,745","63,915","Dole, Robert",Challenger,"70,650","Clinton, Bill",Incumbent,Reform,"9,457","Perot, Ross",Challenger,"6,723","6,735",D,42.40,46.87,6.27,4.46,47.50,52.50,,,
President,California,19961105,N/A,SANTA CLARA,County,"523,291","168,291","Dole, Robert",Challenger,"297,639","Clinton, Bill",Incumbent,Reform,"34,908","Perot, Ross",Challenger,"22,453","129,348",D,32.16,56.88,6.67,4.29,36.12,63.88,,,
President,California,19961105,N/A,SANTA CRUZ,County,"103,062","27,766","Dole, Robert",Challenger,"58,250","Clinton, Bill",Incumbent,Reform,"6,555","Perot, Ross",Challenger,"10,491","30,484",D,26.94,56.52,6.36,10.18,32.28,67.72,,,
President,California,19961105,N/A,SHASTA,County,"62,961","34,736","Dole, Robert",Challenger,"20,848","Clinton, Bill",Incumbent,Reform,"5,875","Perot, Ross",Challenger,"1,502","13,888",R,55.17,33.11,9.33,2.39,62.49,37.51,,,
President,California,19961105,N/A,SIERRA,County,"1,707",877,"Dole, Robert",Challenger,573,"Clinton, Bill",Incumbent,Reform,170,"Perot, Ross",Challenger,87,304,R,51.38,33.57,9.96,5.10,60.48,39.52,,,
President,California,19961105,N/A,SISKIYOU,County,"18,293","8,653","Dole, Robert",Challenger,"7,022","Clinton, Bill",Incumbent,Reform,"1,879","Perot, Ross",Challenger,739,"1,631",R,47.30,38.39,10.27,4.04,55.20,44.80,,,
President,California,19961105,N/A,SOLANO,County,"117,279","40,742","Dole, Robert",Challenger,"64,644","Clinton, Bill",Incumbent,Reform,"8,682","Perot, Ross",Challenger,"3,211","23,902",D,34.74,55.12,7.40,2.74,38.66,61.34,,,
