PRESIDENT 2000
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Nebraska,20001107,N/A,ADAMS,County,"12,438","8,162","Bush, George W.",Challenger,"3,686","Gore, Albert Jr.",Challenger,Green,472,"Nader, Ralph",Challenger,118,"4,476",R,65.62,29.63,3.79,.95,68.89,31.11,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,ANTELOPE,County,"3,368","2,562","Bush, George W.",Challenger,678,"Gore, Albert Jr.",Challenger,Green,84,"Nader, Ralph",Challenger,44,"1,884",R,76.07,20.13,2.49,1.31,79.07,20.93,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,ARTHUR,County,272,235,"Bush, George W.",Challenger,26,"Gore, Albert Jr.",Challenger,Green,6,"Nader, Ralph",Challenger,5,209,R,86.40,9.56,2.21,1.84,90.04,9.96,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BANNER,County,462,390,"Bush, George W.",Challenger,65,"Gore, Albert Jr.",Challenger,Green,2,"Nader, Ralph",Challenger,5,325,R,84.42,14.07,.43,1.08,85.71,14.29,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BLAINE,County,349,299,"Bush, George W.",Challenger,43,"Gore, Albert Jr.",Challenger,Green,5,"Nader, Ralph",Challenger,2,256,R,85.67,12.32,1.43,.57,87.43,12.57,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BOONE,County,"2,862","2,196","Bush, George W.",Challenger,575,"Gore, Albert Jr.",Challenger,Green,65,"Nader, Ralph",Challenger,26,"1,621",R,76.73,20.09,2.27,.91,79.25,20.75,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BOX BUTTE,County,"5,089","3,208","Bush, George W.",Challenger,"1,614","Gore, Albert Jr.",Challenger,Green,203,"Nader, Ralph",Challenger,64,"1,594",R,63.04,31.72,3.99,1.26,66.53,33.47,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BOYD,County,"1,242",931,"Bush, George W.",Challenger,265,"Gore, Albert Jr.",Challenger,Green,25,"Nader, Ralph",Challenger,21,666,R,74.96,21.34,2.01,1.69,77.84,22.16,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BROWN,County,"1,684","1,375","Bush, George W.",Challenger,250,"Gore, Albert Jr.",Challenger,Green,36,"Nader, Ralph",Challenger,23,"1,125",R,81.65,14.85,2.14,1.37,84.62,15.38,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BUFFALO,County,"16,461","11,931","Bush, George W.",Challenger,"3,927","Gore, Albert Jr.",Challenger,Green,483,"Nader, Ralph",Challenger,120,"8,004",R,72.48,23.86,2.93,.73,75.24,24.76,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BURT,County,"3,392","2,056","Bush, George W.",Challenger,"1,223","Gore, Albert Jr.",Challenger,Green,73,"Nader, Ralph",Challenger,40,833,R,60.61,36.06,2.15,1.18,62.70,37.30,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,BUTLER,County,"3,828","2,638","Bush, George W.",Challenger,"1,028","Gore, Albert Jr.",Challenger,Green,108,"Nader, Ralph",Challenger,54,"1,610",R,68.91,26.85,2.82,1.41,71.96,28.04,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,CASS,County,"10,280","6,144","Bush, George W.",Challenger,"3,656","Gore, Albert Jr.",Challenger,Green,369,"Nader, Ralph",Challenger,111,"2,488",R,59.77,35.56,3.59,1.08,62.69,37.31,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
President,Nebraska,20001107,N/A,CEDAR,County,"4,269","2,989","Bush, George W.",Challenger,"1,062","Gore, Albert Jr.",Challenger,Green,140,"Nader, Ralph",Challenger,78,"1,927",R,70.02,24.88,3.28,1.83,73.78,26.22,"Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).","Notes for the 2000 Presidential Election: Although Gore won the popular vote, Bush won the electoral vote and was elected President. In Indiana, the votes reported by county do not match the certified totals for Nader (18,531) and Other (32,955).",
