PRESIDENT 2004
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Mississippi,20041102,N/A,ADAMS,County,"15,470","6,996","Bush, George W.",Incumbent,"8,423","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,51,"1,427",D,45.22,54.45,.00,.33,45.37,54.63,,,
President,Mississippi,20041102,N/A,ALCORN,County,"14,239","8,634","Bush, George W.",Incumbent,"5,454","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,151,"3,180",R,60.64,38.30,.00,1.06,61.29,38.71,,,
President,Mississippi,20041102,N/A,AMITE,County,"7,197","4,147","Bush, George W.",Incumbent,"3,012","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,38,"1,135",R,57.62,41.85,.00,.53,57.93,42.07,,,
President,Mississippi,20041102,N/A,ATTALA,County,"8,207","5,014","Bush, George W.",Incumbent,"3,145","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,48,"1,869",R,61.09,38.32,.00,.58,61.45,38.55,,,
President,Mississippi,20041102,N/A,BENTON,County,"4,247","1,969","Bush, George W.",Incumbent,"2,245","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,33,276,D,46.36,52.86,.00,.78,46.73,53.27,,,
President,Mississippi,20041102,N/A,BOLIVAR,County,"15,307","5,535","Bush, George W.",Incumbent,"9,631","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,141,"4,096",D,36.16,62.92,.00,.92,36.50,63.50,,,
President,Mississippi,20041102,N/A,CALHOUN,County,"6,389","4,131","Bush, George W.",Incumbent,"2,234","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,24,"1,897",R,64.66,34.97,.00,.38,64.90,35.10,,,
President,Mississippi,20041102,N/A,CARROLL,County,"5,592","3,664","Bush, George W.",Incumbent,"1,900","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,28,"1,764",R,65.52,33.98,.00,.50,65.85,34.15,,,
President,Mississippi,20041102,N/A,CHICKASAW,County,"8,343","4,193","Bush, George W.",Incumbent,"4,078","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,72,115,R,50.26,48.88,.00,.86,50.70,49.30,,,
President,Mississippi,20041102,N/A,CHOCTAW,County,"4,082","2,694","Bush, George W.",Incumbent,"1,366","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,22,"1,328",R,66.00,33.46,.00,.54,66.35,33.65,,,
