PRESIDENT 2004
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Wisconsin,20041102,N/A,ADAMS,County,"10,456","4,890","Bush, George W.",Incumbent,"5,447","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,119,557,D,46.77,52.09,.00,1.14,47.31,52.69,,,
President,Wisconsin,20041102,N/A,ASHLAND,County,"9,199","3,313","Bush, George W.",Incumbent,"5,805","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,81,"2,492",D,36.01,63.10,.00,.88,36.33,63.67,,,
President,Wisconsin,20041102,N/A,BARRON,County,"23,937","12,030","Bush, George W.",Incumbent,"11,696","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,211,334,R,50.26,48.86,.00,.88,50.70,49.30,,,
President,Wisconsin,20041102,N/A,BAYFIELD,County,"9,699","3,754","Bush, George W.",Incumbent,"5,845","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,100,"2,091",D,38.71,60.26,.00,1.03,39.11,60.89,,,
President,Wisconsin,20041102,N/A,BROWN,County,"123,294","67,173","Bush, George W.",Incumbent,"54,935","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"1,186","12,238",R,54.48,44.56,.00,.96,55.01,44.99,,,
President,Wisconsin,20041102,N/A,BUFFALO,County,"7,591","3,502","Bush, George W.",Incumbent,"3,998","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,91,496,D,46.13,52.67,.00,1.20,46.69,53.31,,,
President,Wisconsin,20041102,N/A,BURNETT,County,"9,321","4,743","Bush, George W.",Incumbent,"4,499","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,79,244,R,50.89,48.27,.00,.85,51.32,48.68,,,
President,Wisconsin,20041102,N/A,CALUMET,County,"25,276","14,721","Bush, George W.",Incumbent,"10,290","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,265,"4,431",R,58.24,40.71,.00,1.05,58.86,41.14,,,
President,Wisconsin,20041102,N/A,CHIPPEWA,County,"30,524","15,450","Bush, George W.",Incumbent,"14,751","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,323,699,R,50.62,48.33,.00,1.06,51.16,48.84,,,
President,Wisconsin,20041102,N/A,CLARK,County,"15,125","7,966","Bush, George W.",Incumbent,"6,966","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,193,"1,000",R,52.67,46.06,.00,1.28,53.35,46.65,,,
President,Wisconsin,20041102,N/A,COLUMBIA,County,"29,555","14,956","Bush, George W.",Incumbent,"14,300","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,299,656,R,50.60,48.38,.00,1.01,51.12,48.88,,,
President,Wisconsin,20041102,N/A,CRAWFORD,County,"8,459","3,680","Bush, George W.",Incumbent,"4,656","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,123,976,D,43.50,55.04,.00,1.45,44.15,55.85,,,
President,Wisconsin,20041102,N/A,DANE,County,"274,249","90,369","Bush, George W.",Incumbent,"181,052","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"2,828","90,683",D,32.95,66.02,.00,1.03,33.29,66.71,,,
President,Wisconsin,20041102,N/A,DODGE,County,"44,336","27,201","Bush, George W.",Incumbent,"16,690","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,445,"10,511",R,61.35,37.64,.00,1.00,61.97,38.03,,,
President,Wisconsin,20041102,N/A,DOOR,County,"17,491","8,910","Bush, George W.",Incumbent,"8,367","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,214,543,R,50.94,47.84,.00,1.22,51.57,48.43,,,
President,Wisconsin,20041102,N/A,DOUGLAS,County,"25,187","8,448","Bush, George W.",Incumbent,"16,537","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,202,"8,089",D,33.54,65.66,.00,.80,33.81,66.19,,,
President,Wisconsin,20041102,N/A,DUNN,County,"23,172","10,879","Bush, George W.",Incumbent,"12,039","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,254,"1,160",D,46.95,51.95,.00,1.10,47.47,52.53,,,
President,Wisconsin,20041102,N/A,EAU CLAIRE,County,"55,437","24,653","Bush, George W.",Incumbent,"30,068","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,716,"5,415",D,44.47,54.24,.00,1.29,45.05,54.95,,,
President,Wisconsin,20041102,N/A,FLORENCE,County,"2,724","1,703","Bush, George W.",Incumbent,993,"Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,28,710,R,62.52,36.45,.00,1.03,63.17,36.83,,,
President,Wisconsin,20041102,N/A,FOND DU LAC,County,"53,036","33,291","Bush, George W.",Incumbent,"19,216","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,529,"14,075",R,62.77,36.23,.00,1.00,63.40,36.60,,,
President,Wisconsin,20041102,N/A,FOREST,County,"5,153","2,608","Bush, George W.",Incumbent,"2,509","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,36,99,R,50.61,48.69,.00,.70,50.97,49.03,,,
President,Wisconsin,20041102,N/A,GRANT,County,"25,264","12,208","Bush, George W.",Incumbent,"12,864","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,192,656,D,48.32,50.92,.00,.76,48.69,51.31,,,
President,Wisconsin,20041102,N/A,GREEN,County,"18,248","8,497","Bush, George W.",Incumbent,"9,575","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,176,"1,078",D,46.56,52.47,.00,.96,47.02,52.98,,,
President,Wisconsin,20041102,N/A,GREEN LAKE,County,"10,178","6,472","Bush, George W.",Incumbent,"3,605","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,101,"2,867",R,63.59,35.42,.00,.99,64.23,35.77,,,
President,Wisconsin,20041102,N/A,IOWA,County,"12,542","5,348","Bush, George W.",Incumbent,"7,122","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,72,"1,774",D,42.64,56.79,.00,.57,42.89,57.11,,,
President,Wisconsin,20041102,N/A,IRON,County,"3,879","1,884","Bush, George W.",Incumbent,"1,956","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,39,72,D,48.57,50.43,.00,1.01,49.06,50.94,,,
President,Wisconsin,20041102,N/A,JACKSON,County,"9,726","4,387","Bush, George W.",Incumbent,"5,249","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,90,862,D,45.11,53.97,.00,.93,45.53,54.47,,,
President,Wisconsin,20041102,N/A,JEFFERSON,County,"42,115","23,776","Bush, George W.",Incumbent,"17,925","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,414,"5,851",R,56.45,42.56,.00,.98,57.02,42.98,,,
President,Wisconsin,20041102,N/A,JUNEAU,County,"12,379","6,473","Bush, George W.",Incumbent,"5,734","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,172,739,R,52.29,46.32,.00,1.39,53.03,46.97,,,
President,Wisconsin,20041102,N/A,KENOSHA,County,"76,428","35,587","Bush, George W.",Incumbent,"40,107","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,734,"4,520",D,46.56,52.48,.00,.96,47.01,52.99,,,
President,Wisconsin,20041102,N/A,KEWAUNEE,County,"11,273","5,970","Bush, George W.",Incumbent,"5,175","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,128,795,R,52.96,45.91,.00,1.14,53.57,46.43,,,
President,Wisconsin,20041102,N/A,LA CROSSE,County,"62,136","28,289","Bush, George W.",Incumbent,"33,170","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,677,"4,881",D,45.53,53.38,.00,1.09,46.03,53.97,,,
President,Wisconsin,20041102,N/A,LAFAYETTE,County,"8,388","3,929","Bush, George W.",Incumbent,"4,402","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,57,473,D,46.84,52.48,.00,.68,47.16,52.84,,,
President,Wisconsin,20041102,N/A,LANGLADE,County,"11,074","6,235","Bush, George W.",Incumbent,"4,751","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,88,"1,484",R,56.30,42.90,.00,.79,56.75,43.25,,,
President,Wisconsin,20041102,N/A,LINCOLN,County,"15,700","8,024","Bush, George W.",Incumbent,"7,484","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,192,540,R,51.11,47.67,.00,1.22,51.74,48.26,,,
President,Wisconsin,20041102,N/A,MANITOWOC,County,"44,160","23,027","Bush, George W.",Incumbent,"20,652","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,481,"2,375",R,52.14,46.77,.00,1.09,52.72,47.28,,,
President,Wisconsin,20041102,N/A,MARATHON,County,"68,059","36,394","Bush, George W.",Incumbent,"30,899","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,766,"5,495",R,53.47,45.40,.00,1.13,54.08,45.92,,,
President,Wisconsin,20041102,N/A,MARINETTE,County,"22,270","11,866","Bush, George W.",Incumbent,"10,190","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,214,"1,676",R,53.28,45.76,.00,.96,53.80,46.20,,,
President,Wisconsin,20041102,N/A,MARQUETTE,County,"8,477","4,604","Bush, George W.",Incumbent,"3,785","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,88,819,R,54.31,44.65,.00,1.04,54.88,45.12,,,
President,Wisconsin,20041102,N/A,MENOMINEE,County,"1,710",288,"Bush, George W.",Incumbent,"1,412","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,10,"1,124",D,16.84,82.57,.00,.58,16.94,83.06,,,
President,Wisconsin,20041102,N/A,MILWAUKEE,County,"482,236","180,287","Bush, George W.",Incumbent,"297,653","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"4,296","117,366",D,37.39,61.72,.00,.89,37.72,62.28,,,
President,Wisconsin,20041102,N/A,MONROE,County,"19,554","10,375","Bush, George W.",Incumbent,"8,973","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,206,"1,402",R,53.06,45.89,.00,1.05,53.62,46.38,,,
President,Wisconsin,20041102,N/A,OCONTO,County,"19,794","11,043","Bush, George W.",Incumbent,"8,534","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,217,"2,509",R,55.79,43.11,.00,1.10,56.41,43.59,,,
President,Wisconsin,20041102,N/A,ONEIDA,County,"22,039","11,351","Bush, George W.",Incumbent,"10,464","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,224,887,R,51.50,47.48,.00,1.02,52.03,47.97,,,
President,Wisconsin,20041102,N/A,OUTAGAMIE,County,"90,050","48,903","Bush, George W.",Incumbent,"40,169","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,978,"8,734",R,54.31,44.61,.00,1.09,54.90,45.10,,,
President,Wisconsin,20041102,N/A,OZAUKEE,County,"53,032","34,904","Bush, George W.",Incumbent,"17,714","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,414,"17,190",R,65.82,33.40,.00,.78,66.33,33.67,,,
President,Wisconsin,20041102,N/A,PEPIN,County,"4,066","1,853","Bush, George W.",Incumbent,"2,181","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,32,328,D,45.57,53.64,.00,.79,45.93,54.07,,,
President,Wisconsin,20041102,N/A,PIERCE,County,"21,876","10,437","Bush, George W.",Incumbent,"11,176","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,263,739,D,47.71,51.09,.00,1.20,48.29,51.71,,,
President,Wisconsin,20041102,N/A,POLK,County,"23,503","12,095","Bush, George W.",Incumbent,"11,173","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,235,922,R,51.46,47.54,.00,1.00,51.98,48.02,,,
President,Wisconsin,20041102,N/A,PORTAGE,County,"38,961","16,546","Bush, George W.",Incumbent,"21,861","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,554,"5,315",D,42.47,56.11,.00,1.42,43.08,56.92,,,
President,Wisconsin,20041102,N/A,PRICE,County,"8,763","4,312","Bush, George W.",Incumbent,"4,349","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,102,37,D,49.21,49.63,.00,1.16,49.79,50.21,,,
President,Wisconsin,20041102,N/A,RACINE,County,"101,569","52,456","Bush, George W.",Incumbent,"48,229","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,884,"4,227",R,51.65,47.48,.00,.87,52.10,47.90,,,
President,Wisconsin,20041102,N/A,RICHLAND,County,"9,420","4,836","Bush, George W.",Incumbent,"4,501","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,83,335,R,51.34,47.78,.00,.88,51.79,48.21,,,
President,Wisconsin,20041102,N/A,ROCK,County,"80,479","33,151","Bush, George W.",Incumbent,"46,598","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,730,"13,447",D,41.19,57.90,.00,.91,41.57,58.43,,,
President,Wisconsin,20041102,N/A,RUSK,County,"7,927","3,985","Bush, George W.",Incumbent,"3,820","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,122,165,R,50.27,48.19,.00,1.54,51.06,48.94,,,
President,Wisconsin,20041102,N/A,SAUK,County,"30,417","14,415","Bush, George W.",Incumbent,"15,708","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,294,"1,293",D,47.39,51.64,.00,.97,47.85,52.15,,,
President,Wisconsin,20041102,N/A,SAWYER,County,"9,453","4,951","Bush, George W.",Incumbent,"4,411","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,91,540,R,52.37,46.66,.00,.96,52.88,47.12,,,
President,Wisconsin,20041102,N/A,SHAWANO,County,"20,999","12,150","Bush, George W.",Incumbent,"8,657","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,192,"3,493",R,57.86,41.23,.00,.91,58.39,41.61,,,
President,Wisconsin,20041102,N/A,SHEBOYGAN,County,"62,625","34,458","Bush, George W.",Incumbent,"27,608","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,559,"6,850",R,55.02,44.08,.00,.89,55.52,44.48,,,
President,Wisconsin,20041102,N/A,ST. CROIX,County,"41,835","22,679","Bush, George W.",Incumbent,"18,784","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,372,"3,895",R,54.21,44.90,.00,.89,54.70,45.30,,,
President,Wisconsin,20041102,N/A,TAYLOR,County,"9,543","5,582","Bush, George W.",Incumbent,"3,829","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,132,"1,753",R,58.49,40.12,.00,1.38,59.31,40.69,,,
President,Wisconsin,20041102,N/A,TREMPEALEAU,County,"14,062","5,878","Bush, George W.",Incumbent,"8,075","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,109,"2,197",D,41.80,57.42,.00,.78,42.13,57.87,,,
President,Wisconsin,20041102,N/A,VERNON,County,"14,845","6,774","Bush, George W.",Incumbent,"7,924","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,147,"1,150",D,45.63,53.38,.00,.99,46.09,53.91,,,
President,Wisconsin,20041102,N/A,VILAS,County,"14,002","8,155","Bush, George W.",Incumbent,"5,713","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,134,"2,442",R,58.24,40.80,.00,.96,58.80,41.20,,,
President,Wisconsin,20041102,N/A,WALWORTH,County,"48,446","28,754","Bush, George W.",Incumbent,"19,177","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,515,"9,577",R,59.35,39.58,.00,1.06,59.99,40.01,,,
President,Wisconsin,20041102,N/A,WASHBURN,County,"9,567","4,762","Bush, George W.",Incumbent,"4,705","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,100,57,R,49.78,49.18,.00,1.05,50.30,49.70,,,
President,Wisconsin,20041102,N/A,WASHINGTON,County,"72,467","50,641","Bush, George W.",Incumbent,"21,234","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,592,"29,407",R,69.88,29.30,.00,.82,70.46,29.54,,,
President,Wisconsin,20041102,N/A,WAUKESHA,County,"230,363","154,926","Bush, George W.",Incumbent,"73,626","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,"1,811","81,300",R,67.25,31.96,.00,.79,67.79,32.21,,,
President,Wisconsin,20041102,N/A,WAUPACA,County,"26,974","15,941","Bush, George W.",Incumbent,"10,792","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,241,"5,149",R,59.10,40.01,.00,.89,59.63,40.37,,,
President,Wisconsin,20041102,N/A,WAUSHARA,County,"12,246","6,888","Bush, George W.",Incumbent,"5,257","Kerry, John F.",Challenger,N/A,N/A,N/A,N/A,101,"1,631",R,56.25,42.93,.00,.82,56.71,43.29,,,
