PRESIDENT 2008
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Alaska,20081104,N/A,Election District 1,Election District,"6,970","4,149","McCain, John S. III",Challenger,"2,597","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,224,"1,552",R,59.53,37.26,.00,3.21,61.50,38.50,,,
President,Alaska,20081104,N/A,Election District 10,Election District,"5,615","3,392","McCain, John S. III",Challenger,"2,074","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,149,"1,318",R,60.41,36.94,.00,2.65,62.06,37.94,,,
President,Alaska,20081104,N/A,Election District 11,Election District,"9,866","7,736","McCain, John S. III",Challenger,"1,924","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,206,"5,812",R,78.41,19.50,.00,2.09,80.08,19.92,,,
President,Alaska,20081104,N/A,Election District 12,Election District,"7,589","5,467","McCain, John S. III",Challenger,"1,914","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,208,"3,553",R,72.04,25.22,.00,2.74,74.07,25.93,,,
President,Alaska,20081104,N/A,Election District 13,Election District,"11,526","8,432","McCain, John S. III",Challenger,"2,800","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,294,"5,632",R,73.16,24.29,.00,2.55,75.07,24.93,,,
President,Alaska,20081104,N/A,Election District 14,Election District,"10,456","8,108","McCain, John S. III",Challenger,"2,132","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,216,"5,976",R,77.54,20.39,.00,2.07,79.18,20.82,,,
President,Alaska,20081104,N/A,Election District 15,Election District,"11,086","8,227","McCain, John S. III",Challenger,"2,510","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,349,"5,717",R,74.21,22.64,.00,3.15,76.62,23.38,,,
President,Alaska,20081104,N/A,Election District 16,Election District,"10,697","7,774","McCain, John S. III",Challenger,"2,636","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,287,"5,138",R,72.67,24.64,.00,2.68,74.68,25.32,,,
President,Alaska,20081104,N/A,Election District 17,Election District,"9,448","6,621","McCain, John S. III",Challenger,"2,645","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,182,"3,976",R,70.08,28.00,.00,1.93,71.45,28.55,,,
President,Alaska,20081104,N/A,Election District 18,Election District,"6,411","4,252","McCain, John S. III",Challenger,"2,046","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,113,"2,206",R,66.32,31.91,.00,1.76,67.51,32.49,,,
President,Alaska,20081104,N/A,Election District 19,Election District,"7,372","4,106","McCain, John S. III",Challenger,"3,095","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,171,"1,011",R,55.70,41.98,.00,2.32,57.02,42.98,,,
President,Alaska,20081104,N/A,Election District 2,Election District,"7,735","4,029","McCain, John S. III",Challenger,"3,468","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,238,561,R,52.09,44.84,.00,3.08,53.74,46.26,,,
President,Alaska,20081104,N/A,Election District 20,Election District,"5,138","2,536","McCain, John S. III",Challenger,"2,474","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,128,62,R,49.36,48.15,.00,2.49,50.62,49.38,,,
President,Alaska,20081104,N/A,Election District 21,Election District,"8,675","4,837","McCain, John S. III",Challenger,"3,647","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,191,"1,190",R,55.76,42.04,.00,2.20,57.01,42.99,,,
