PRESIDENT 2008
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Massachusetts,20081104,N/A,BARNSTABLE,County,"132,270","55,694","McCain, John S. III",Challenger,"74,264","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"2,312","18,570",D,42.11,56.15,.00,1.75,42.86,57.14,,,
President,Massachusetts,20081104,N/A,BERKSHIRE,County,"66,130","14,876","McCain, John S. III",Challenger,"49,558","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"1,696","34,682",D,22.50,74.94,.00,2.56,23.09,76.91,,,
President,Massachusetts,20081104,N/A,BRISTOL,County,"243,120","90,531","McCain, John S. III",Challenger,"146,861","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"5,728","56,330",D,37.24,60.41,.00,2.36,38.14,61.86,,,
President,Massachusetts,20081104,N/A,DUKES,County,"10,553","2,442","McCain, John S. III",Challenger,"7,913","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,198,"5,471",D,23.14,74.98,.00,1.88,23.58,76.42,,,
President,Massachusetts,20081104,N/A,ESSEX,County,"353,462","137,129","McCain, John S. III",Challenger,"208,976","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"7,357","71,847",D,38.80,59.12,.00,2.08,39.62,60.38,,,
President,Massachusetts,20081104,N/A,FRANKLIN,County,"38,529","9,545","McCain, John S. III",Challenger,"27,919","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"1,065","18,374",D,24.77,72.46,.00,2.76,25.48,74.52,,,
President,Massachusetts,20081104,N/A,HAMPDEN,County,"197,720","71,350","McCain, John S. III",Challenger,"121,454","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"4,916","50,104",D,36.09,61.43,.00,2.49,37.01,62.99,,,
President,Massachusetts,20081104,N/A,HAMPSHIRE,County,"79,570","20,618","McCain, John S. III",Challenger,"56,869","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"2,083","36,251",D,25.91,71.47,.00,2.62,26.61,73.39,,,
President,Massachusetts,20081104,N/A,MIDDLESEX,County,"726,031","245,766","McCain, John S. III",Challenger,"464,484","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"15,781","218,718",D,33.85,63.98,.00,2.17,34.60,65.40,,,
President,Massachusetts,20081104,N/A,NANTUCKET,County,"6,052","1,863","McCain, John S. III",Challenger,"4,073","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,116,"2,210",D,30.78,67.30,.00,1.92,31.38,68.62,,,
President,Massachusetts,20081104,N/A,NORFOLK,County,"344,916","136,841","McCain, John S. III",Challenger,"200,675","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"7,400","63,834",D,39.67,58.18,.00,2.15,40.54,59.46,,,
President,Massachusetts,20081104,N/A,PLYMOUTH,County,"249,817","112,904","McCain, John S. III",Challenger,"131,817","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"5,096","18,913",D,45.19,52.77,.00,2.04,46.14,53.86,,,
President,Massachusetts,20081104,N/A,SUFFOLK,County,"269,221","57,194","McCain, John S. III",Challenger,"207,127","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"4,900","149,933",D,21.24,76.94,.00,1.82,21.64,78.36,,,
President,Massachusetts,20081104,N/A,WORCESTER,County,"363,594","152,101","McCain, John S. III",Challenger,"202,107","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"9,386","50,006",D,41.83,55.59,.00,2.58,42.94,57.06,,,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Massachusetts,"3,080,985","1,108,854","1,904,097",N/A,"68,034","795,243",D,"795,243",D,35.99,61.80,.00,2.21,36.80,63.20
,
,
,
