PRESIDENT 2008
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Ohio,20081104,N/A,ADAMS,County,"11,388","6,914","McCain, John S. III",Challenger,"4,170","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,304,"2,744",R,60.71,36.62,.00,2.67,62.38,37.62,,,
President,Ohio,20081104,N/A,ALLEN,County,"50,263","29,940","McCain, John S. III",Challenger,"19,522","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,801,"10,418",R,59.57,38.84,.00,1.59,60.53,39.47,,,
President,Ohio,20081104,N/A,ASHLAND,County,"25,168","15,158","McCain, John S. III",Challenger,"9,300","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,710,"5,858",R,60.23,36.95,.00,2.82,61.98,38.02,,,
President,Ohio,20081104,N/A,ASHTABULA,County,"44,874","18,949","McCain, John S. III",Challenger,"25,027","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,898,"6,078",D,42.23,55.77,.00,2.00,43.09,56.91,,,
President,Ohio,20081104,N/A,ATHENS,County,"31,098","9,742","McCain, John S. III",Challenger,"20,722","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,634,"10,980",D,31.33,66.63,.00,2.04,31.98,68.02,,,
President,Ohio,20081104,N/A,AUGLAIZE,County,"23,516","16,414","McCain, John S. III",Challenger,"6,738","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,364,"9,676",R,69.80,28.65,.00,1.55,70.90,29.10,,,
President,Ohio,20081104,N/A,BELMONT,County,"32,411","15,422","McCain, John S. III",Challenger,"16,302","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,687,880,D,47.58,50.30,.00,2.12,48.61,51.39,,,
President,Ohio,20081104,N/A,BROWN,County,"20,113","12,192","McCain, John S. III",Challenger,"7,503","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,418,"4,689",R,60.62,37.30,.00,2.08,61.90,38.10,,,
President,Ohio,20081104,N/A,BUTLER,County,"173,777","105,341","McCain, John S. III",Challenger,"66,030","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,"2,406","39,311",R,60.62,38.00,.00,1.38,61.47,38.53,,,
President,Ohio,20081104,N/A,CARROLL,County,"13,953","7,097","McCain, John S. III",Challenger,"6,423","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,433,674,R,50.86,46.03,.00,3.10,52.49,47.51,,,
