PRESIDENT 2008
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Tennessee,20081104,N/A,ANDERSON,County,"31,570","19,675","McCain, John S. III",Challenger,"11,396","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,499,"8,279",R,62.32,36.10,.00,1.58,63.32,36.68,,,
President,Tennessee,20081104,N/A,BEDFORD,County,"15,507","10,217","McCain, John S. III",Challenger,"5,027","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,263,"5,190",R,65.89,32.42,.00,1.70,67.02,32.98,,,
President,Tennessee,20081104,N/A,BENTON,County,"6,479","3,696","McCain, John S. III",Challenger,"2,645","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,138,"1,051",R,57.05,40.82,.00,2.13,58.29,41.71,,,
President,Tennessee,20081104,N/A,BLEDSOE,County,"4,784","3,166","McCain, John S. III",Challenger,"1,517","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,101,"1,649",R,66.18,31.71,.00,2.11,67.61,32.39,,,
President,Tennessee,20081104,N/A,BLOUNT,County,"51,645","35,571","McCain, John S. III",Challenger,"15,253","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,821,"20,318",R,68.88,29.53,.00,1.59,69.99,30.01,,,
President,Tennessee,20081104,N/A,BRADLEY,County,"38,191","28,333","McCain, John S. III",Challenger,"9,357","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,501,"18,976",R,74.19,24.50,.00,1.31,75.17,24.83,,,
President,Tennessee,20081104,N/A,CAMPBELL,County,"12,628","8,535","McCain, John S. III",Challenger,"3,867","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,226,"4,668",R,67.59,30.62,.00,1.79,68.82,31.18,,,
President,Tennessee,20081104,N/A,CANNON,County,"5,457","3,322","McCain, John S. III",Challenger,"2,011","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,124,"1,311",R,60.88,36.85,.00,2.27,62.29,37.71,,,
President,Tennessee,20081104,N/A,CARROLL,County,"11,646","7,455","McCain, John S. III",Challenger,"3,980","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,211,"3,475",R,64.01,34.17,.00,1.81,65.19,34.81,,,
President,Tennessee,20081104,N/A,CARTER,County,"21,769","15,852","McCain, John S. III",Challenger,"5,587","Obama, Barack H.",Challenger,N/A,N/A,N/A,N/A,330,"10,265",R,72.82,25.66,.00,1.52,73.94,26.06,,,
