PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Idaho,20121106,N/A,ADA,County,"180,562","97,554","Romney, W. Mitt",Challenger,"77,137","Obama, Barack H.",Incumbent,Libertarian,"3,422","Johnson, Gary E.",Challenger,"2,449","20,417",R,54.03,42.72,1.90,1.36,55.84,44.16,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16",,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16"
President,Idaho,20121106,N/A,ADAMS,County,"2,061","1,413","Romney, W. Mitt",Challenger,577,"Obama, Barack H.",Incumbent,Libertarian,28,"Johnson, Gary E.",Challenger,43,836,R,68.56,28.00,1.36,2.09,71.01,28.99,"The other vote was: Anderson, Ross C. (Justice) 11; Stein, Jill (Green) 23; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 11; Stein, Jill (Green) 23; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,BANNOCK,County,"35,264","21,010","Romney, W. Mitt",Challenger,"13,214","Obama, Barack H.",Incumbent,Libertarian,442,"Johnson, Gary E.",Challenger,598,"7,796",R,59.58,37.47,1.25,1.70,61.39,38.61,"The other vote was: Anderson, Ross C. (Justice) 218; Stein, Jill (Green) 274; Goode, Virgil H. Jr. (Write-in) 102; Scattered Write-In (Write-in) 4",,"The other vote was: Anderson, Ross C. (Justice) 218; Stein, Jill (Green) 274; Goode, Virgil H. Jr. (Write-in) 102; Scattered Write-In (Write-in) 4"
President,Idaho,20121106,N/A,BEAR LAKE,County,"2,822","2,489","Romney, W. Mitt",Challenger,302,"Obama, Barack H.",Incumbent,Libertarian,9,"Johnson, Gary E.",Challenger,22,"2,187",R,88.20,10.70,.32,.78,89.18,10.82,"The other vote was: Anderson, Ross C. (Justice) 6; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 6; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,BENEWAH,County,"3,885","2,596","Romney, W. Mitt",Challenger,"1,164","Obama, Barack H.",Incumbent,Libertarian,46,"Johnson, Gary E.",Challenger,79,"1,432",R,66.82,29.96,1.18,2.03,69.04,30.96,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 34; Goode, Virgil H. Jr. (Write-in) 28; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 34; Goode, Virgil H. Jr. (Write-in) 28; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,BINGHAM,County,"17,606","13,440","Romney, W. Mitt",Challenger,"3,822","Obama, Barack H.",Incumbent,Libertarian,155,"Johnson, Gary E.",Challenger,189,"9,618",R,76.34,21.71,.88,1.07,77.86,22.14,"The other vote was: Anderson, Ross C. (Justice) 50; Stein, Jill (Green) 86; Goode, Virgil H. Jr. (Write-in) 50; Scattered Write-In (Write-in) 3",,"The other vote was: Anderson, Ross C. (Justice) 50; Stein, Jill (Green) 86; Goode, Virgil H. Jr. (Write-in) 50; Scattered Write-In (Write-in) 3"
President,Idaho,20121106,N/A,BLAINE,County,"10,194","3,939","Romney, W. Mitt",Challenger,"5,992","Obama, Barack H.",Incumbent,Libertarian,167,"Johnson, Gary E.",Challenger,96,"2,053",D,38.64,58.78,1.64,.94,39.66,60.34,"The other vote was: Anderson, Ross C. (Justice) 40; Stein, Jill (Green) 48; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 40; Stein, Jill (Green) 48; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,BOISE,County,"3,446","2,284","Romney, W. Mitt",Challenger,"1,053","Obama, Barack H.",Incumbent,Libertarian,63,"Johnson, Gary E.",Challenger,46,"1,231",R,66.28,30.56,1.83,1.33,68.44,31.56,"The other vote was: Anderson, Ross C. (Justice) 11; Stein, Jill (Green) 23; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 1",,"The other vote was: Anderson, Ross C. (Justice) 11; Stein, Jill (Green) 23; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 1"
President,Idaho,20121106,N/A,BONNER,County,"18,536","11,367","Romney, W. Mitt",Challenger,"6,500","Obama, Barack H.",Incumbent,Libertarian,322,"Johnson, Gary E.",Challenger,347,"4,867",R,61.32,35.07,1.74,1.87,63.62,36.38,"The other vote was: Anderson, Ross C. (Justice) 70; Stein, Jill (Green) 177; Goode, Virgil H. Jr. (Write-in) 100; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 70; Stein, Jill (Green) 177; Goode, Virgil H. Jr. (Write-in) 100; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,BONNEVILLE,County,"43,217","32,276","Romney, W. Mitt",Challenger,"9,903","Obama, Barack H.",Incumbent,Libertarian,536,"Johnson, Gary E.",Challenger,502,"22,373",R,74.68,22.91,1.24,1.16,76.52,23.48,"The other vote was: Anderson, Ross C. (Justice) 157; Stein, Jill (Green) 235; Goode, Virgil H. Jr. (Write-in) 106; Scattered Write-In (Write-in) 4",,"The other vote was: Anderson, Ross C. (Justice) 157; Stein, Jill (Green) 235; Goode, Virgil H. Jr. (Write-in) 106; Scattered Write-In (Write-in) 4"
President,Idaho,20121106,N/A,BOUNDARY,County,"4,544","3,138","Romney, W. Mitt",Challenger,"1,225","Obama, Barack H.",Incumbent,Libertarian,77,"Johnson, Gary E.",Challenger,104,"1,913",R,69.06,26.96,1.69,2.29,71.92,28.08,"The other vote was: Anderson, Ross C. (Justice) 22; Stein, Jill (Green) 48; Goode, Virgil H. Jr. (Write-in) 34; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 22; Stein, Jill (Green) 48; Goode, Virgil H. Jr. (Write-in) 34; Scattered Write-In (Write-in) 0"
