PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Montana,20121106,N/A,BEAVERHEAD,County,"4,812","3,289","Romney, W. Mitt",Challenger,"1,371","Obama, Barack H.",Incumbent,Libertarian,152,"Johnson, Gary E.",Challenger,N/A,"1,918",R,68.35,28.49,3.16,.00,70.58,29.42,,,
President,Montana,20121106,N/A,BIG HORN,County,"4,626","1,667","Romney, W. Mitt",Challenger,"2,882","Obama, Barack H.",Incumbent,Libertarian,77,"Johnson, Gary E.",Challenger,N/A,"1,215",D,36.04,62.30,1.66,.00,36.65,63.35,,,
President,Montana,20121106,N/A,BLAINE,County,"2,859","1,178","Romney, W. Mitt",Challenger,"1,616","Obama, Barack H.",Incumbent,Libertarian,65,"Johnson, Gary E.",Challenger,N/A,438,D,41.20,56.52,2.27,.00,42.16,57.84,,,
President,Montana,20121106,N/A,BROADWATER,County,"3,011","2,152","Romney, W. Mitt",Challenger,764,"Obama, Barack H.",Incumbent,Libertarian,95,"Johnson, Gary E.",Challenger,N/A,"1,388",R,71.47,25.37,3.16,.00,73.80,26.20,,,
President,Montana,20121106,N/A,CARBON,County,"5,847","3,533","Romney, W. Mitt",Challenger,"2,146","Obama, Barack H.",Incumbent,Libertarian,167,"Johnson, Gary E.",Challenger,1,"1,387",R,60.42,36.70,2.86,.02,62.21,37.79,"The other vote was: Goode, Virgil H. Jr. (Write-in) 1",,"The other vote was: Goode, Virgil H. Jr. (Write-in) 1"
President,Montana,20121106,N/A,CARTER,County,796,678,"Romney, W. Mitt",Challenger,96,"Obama, Barack H.",Incumbent,Libertarian,20,"Johnson, Gary E.",Challenger,2,582,R,85.18,12.06,2.51,.25,87.60,12.40,"The other vote was: Goode, Virgil H. Jr. (Write-in) 2",,"The other vote was: Goode, Virgil H. Jr. (Write-in) 2"
President,Montana,20121106,N/A,CASCADE,County,"34,576","18,345","Romney, W. Mitt",Challenger,"15,232","Obama, Barack H.",Incumbent,Libertarian,987,"Johnson, Gary E.",Challenger,12,"3,113",R,53.06,44.05,2.85,.03,54.64,45.36,"The other vote was: Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 9",,"The other vote was: Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 9"
President,Montana,20121106,N/A,CHOUTEAU,County,"2,821","1,758","Romney, W. Mitt",Challenger,978,"Obama, Barack H.",Incumbent,Libertarian,85,"Johnson, Gary E.",Challenger,N/A,780,R,62.32,34.67,3.01,.00,64.25,35.75,,,
President,Montana,20121106,N/A,CUSTER,County,"5,365","3,373","Romney, W. Mitt",Challenger,"1,833","Obama, Barack H.",Incumbent,Libertarian,159,"Johnson, Gary E.",Challenger,N/A,"1,540",R,62.87,34.17,2.96,.00,64.79,35.21,,,
President,Montana,20121106,N/A,DANIELS,County,"1,007",740,"Romney, W. Mitt",Challenger,237,"Obama, Barack H.",Incumbent,Libertarian,30,"Johnson, Gary E.",Challenger,N/A,503,R,73.49,23.54,2.98,.00,75.74,24.26,,,
