PRESIDENT 2016
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Illinois,20161108,N/A,ADAMS,County,"31,947","22,790","Trump, Donald J.",Challenger,"7,676","Clinton, Hillary Rodham",Challenger,Independent,"1,168","Johnson, Gary E.",Challenger,313,"15,114",R,71.34,24.03,3.66,.98,74.80,25.20,"The other vote was: Stein, Jill (Independent) 249; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 60",,"The other vote was: Stein, Jill (Independent) 249; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 60"
President,Illinois,20161108,N/A,ALEXANDER,County,"2,820","1,496","Trump, Donald J.",Challenger,"1,262","Clinton, Hillary Rodham",Challenger,Independent,48,"Johnson, Gary E.",Challenger,14,234,R,53.05,44.75,1.70,.50,54.24,45.76,"The other vote was: Stein, Jill (Independent) 14",,"The other vote was: Stein, Jill (Independent) 14"
President,Illinois,20161108,N/A,BOND,County,"7,510","4,888","Trump, Donald J.",Challenger,"2,068","Clinton, Hillary Rodham",Challenger,Independent,447,"Johnson, Gary E.",Challenger,107,"2,820",R,65.09,27.54,5.95,1.42,70.27,29.73,"The other vote was: Stein, Jill (Independent) 67; Hoefling, Thomas (Write-in) 1; Castle, Darrell (Independent) 3; McMullin, Evan (Independent) 36",,"The other vote was: Stein, Jill (Independent) 67; Hoefling, Thomas (Write-in) 1; Castle, Darrell (Independent) 3; McMullin, Evan (Independent) 36"
President,Illinois,20161108,N/A,BOONE,County,"22,729","12,282","Trump, Donald J.",Challenger,"8,986","Clinton, Hillary Rodham",Challenger,Independent,"1,068","Johnson, Gary E.",Challenger,393,"3,296",R,54.04,39.54,4.70,1.73,57.75,42.25,"The other vote was: Stein, Jill (Independent) 330; Castle, Darrell (Independent) 12; McMullin, Evan (Independent) 51",,"The other vote was: Stein, Jill (Independent) 330; Castle, Darrell (Independent) 12; McMullin, Evan (Independent) 51"
President,Illinois,20161108,N/A,BROWN,County,"2,359","1,796","Trump, Donald J.",Challenger,476,"Clinton, Hillary Rodham",Challenger,Independent,77,"Johnson, Gary E.",Challenger,10,"1,320",R,76.13,20.18,3.26,.42,79.05,20.95,"The other vote was: Stein, Jill (Independent) 10",,"The other vote was: Stein, Jill (Independent) 10"
President,Illinois,20161108,N/A,BUREAU,County,"16,389","9,281","Trump, Donald J.",Challenger,"6,029","Clinton, Hillary Rodham",Challenger,Independent,842,"Johnson, Gary E.",Challenger,237,"3,252",R,56.63,36.79,5.14,1.45,60.62,39.38,"The other vote was: Stein, Jill (Independent) 197; Hoefling, Thomas (Write-in) 6; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 30",,"The other vote was: Stein, Jill (Independent) 197; Hoefling, Thomas (Write-in) 6; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 30"
President,Illinois,20161108,N/A,CALHOUN,County,"2,561","1,721","Trump, Donald J.",Challenger,739,"Clinton, Hillary Rodham",Challenger,Independent,72,"Johnson, Gary E.",Challenger,29,982,R,67.20,28.86,2.81,1.13,69.96,30.04,"The other vote was: Stein, Jill (Independent) 26; McMullin, Evan (Independent) 3",,"The other vote was: Stein, Jill (Independent) 26; McMullin, Evan (Independent) 3"
President,Illinois,20161108,N/A,CARROLL,County,"7,393","4,434","Trump, Donald J.",Challenger,"2,447","Clinton, Hillary Rodham",Challenger,Independent,395,"Johnson, Gary E.",Challenger,117,"1,987",R,59.98,33.10,5.34,1.58,64.44,35.56,"The other vote was: Stein, Jill (Independent) 98; Castle, Darrell (Independent) 5; McMullin, Evan (Independent) 14",,"The other vote was: Stein, Jill (Independent) 98; Castle, Darrell (Independent) 5; McMullin, Evan (Independent) 14"
President,Illinois,20161108,N/A,CASS,County,"5,075","3,216","Trump, Donald J.",Challenger,"1,621","Clinton, Hillary Rodham",Challenger,Independent,172,"Johnson, Gary E.",Challenger,66,"1,595",R,63.37,31.94,3.39,1.30,66.49,33.51,"The other vote was: Stein, Jill (Independent) 51; Castle, Darrell (Independent) 3; McMullin, Evan (Independent) 12",,"The other vote was: Stein, Jill (Independent) 51; Castle, Darrell (Independent) 3; McMullin, Evan (Independent) 12"
President,Illinois,20161108,N/A,CHAMPAIGN,County,"90,569","33,368","Trump, Donald J.",Challenger,"50,137","Clinton, Hillary Rodham",Challenger,Independent,"4,547","Johnson, Gary E.",Challenger,"2,517","16,769",D,36.84,55.36,5.02,2.78,39.96,60.04,"The other vote was: Anderson, James (No Party) 50; Stein, Jill (Independent) 1,797; Hoefling, Thomas (Write-in) 3; Castle, Darrell (Independent) 25; Kotlikoff, Laurence (Write-in) 19; McMullin, Evan (Independent) 620; Schoenke, Marshall (Write-in) 2; Lee, Jonathan (Write-in) 1",,"The other vote was: Anderson, James (No Party) 50; Stein, Jill (Independent) 1,797; Hoefling, Thomas (Write-in) 3; Castle, Darrell (Independent) 25; Kotlikoff, Laurence (Write-in) 19; McMullin, Evan (Independent) 620; Schoenke, Marshall (Write-in) 2; Lee, Jonathan (Write-in) 1"
President,Illinois,20161108,N/A,CHRISTIAN,County,"15,364","10,543","Trump, Donald J.",Challenger,"3,992","Clinton, Hillary Rodham",Challenger,Independent,662,"Johnson, Gary E.",Challenger,167,"6,551",R,68.62,25.98,4.31,1.09,72.54,27.46,"The other vote was: Stein, Jill (Independent) 149; Castle, Darrell (Independent) 1; McMullin, Evan (Independent) 17",,"The other vote was: Stein, Jill (Independent) 149; Castle, Darrell (Independent) 1; McMullin, Evan (Independent) 17"
President,Illinois,20161108,N/A,CLARK,County,"7,841","5,622","Trump, Donald J.",Challenger,"1,877","Clinton, Hillary Rodham",Challenger,Independent,277,"Johnson, Gary E.",Challenger,65,"3,745",R,71.70,23.94,3.53,.83,74.97,25.03,"The other vote was: Stein, Jill (Independent) 49; Castle, Darrell (Independent) 5; McMullin, Evan (Independent) 11",,"The other vote was: Stein, Jill (Independent) 49; Castle, Darrell (Independent) 5; McMullin, Evan (Independent) 11"
President,Illinois,20161108,N/A,CLAY,County,"6,314","5,021","Trump, Donald J.",Challenger,"1,020","Clinton, Hillary Rodham",Challenger,Independent,209,"Johnson, Gary E.",Challenger,64,"4,001",R,79.52,16.15,3.31,1.01,83.12,16.88,"The other vote was: Stein, Jill (Independent) 48; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 11; Schoenke, Marshall (Write-in) 1",,"The other vote was: Stein, Jill (Independent) 48; Castle, Darrell (Independent) 4; McMullin, Evan (Independent) 11; Schoenke, Marshall (Write-in) 1"
