PRESIDENT 2016
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Oklahoma,20161108,N/A,ADAIR,County,"6,513","4,787","Trump, Donald J.",Challenger,"1,382","Clinton, Hillary Rodham",Challenger,Independent,344,"Johnson, Gary E.",Challenger,N/A,"3,405",R,73.50,21.22,5.28,.00,77.60,22.40,,,
President,Oklahoma,20161108,N/A,ALFALFA,County,"2,258","1,933","Trump, Donald J.",Challenger,216,"Clinton, Hillary Rodham",Challenger,Independent,109,"Johnson, Gary E.",Challenger,N/A,"1,717",R,85.61,9.57,4.83,.00,89.95,10.05,,,
President,Oklahoma,20161108,N/A,ATOKA,County,"5,018","4,084","Trump, Donald J.",Challenger,795,"Clinton, Hillary Rodham",Challenger,Independent,139,"Johnson, Gary E.",Challenger,N/A,"3,289",R,81.39,15.84,2.77,.00,83.71,16.29,,,
President,Oklahoma,20161108,N/A,BEAVER,County,"2,243","1,993","Trump, Donald J.",Challenger,176,"Clinton, Hillary Rodham",Challenger,Independent,74,"Johnson, Gary E.",Challenger,N/A,"1,817",R,88.85,7.85,3.30,.00,91.89,8.11,,,
President,Oklahoma,20161108,N/A,BECKHAM,County,"7,552","6,308","Trump, Donald J.",Challenger,960,"Clinton, Hillary Rodham",Challenger,Independent,284,"Johnson, Gary E.",Challenger,N/A,"5,348",R,83.53,12.71,3.76,.00,86.79,13.21,,,
President,Oklahoma,20161108,N/A,BLAINE,County,"3,793","2,884","Trump, Donald J.",Challenger,711,"Clinton, Hillary Rodham",Challenger,Independent,198,"Johnson, Gary E.",Challenger,N/A,"2,173",R,76.03,18.75,5.22,.00,80.22,19.78,,,
President,Oklahoma,20161108,N/A,BRYAN,County,"13,818","10,478","Trump, Donald J.",Challenger,"2,804","Clinton, Hillary Rodham",Challenger,Independent,536,"Johnson, Gary E.",Challenger,N/A,"7,674",R,75.83,20.29,3.88,.00,78.89,21.11,,,
President,Oklahoma,20161108,N/A,CADDO,County,"9,348","6,482","Trump, Donald J.",Challenger,"2,420","Clinton, Hillary Rodham",Challenger,Independent,446,"Johnson, Gary E.",Challenger,N/A,"4,062",R,69.34,25.89,4.77,.00,72.82,27.18,,,
President,Oklahoma,20161108,N/A,CANADIAN,County,"55,278","39,986","Trump, Donald J.",Challenger,"11,674","Clinton, Hillary Rodham",Challenger,Independent,"3,618","Johnson, Gary E.",Challenger,N/A,"28,312",R,72.34,21.12,6.55,.00,77.40,22.60,,,
President,Oklahoma,20161108,N/A,CARTER,County,"18,534","13,752","Trump, Donald J.",Challenger,"4,002","Clinton, Hillary Rodham",Challenger,Independent,780,"Johnson, Gary E.",Challenger,N/A,"9,750",R,74.20,21.59,4.21,.00,77.46,22.54,,,
